answer,type,context,question,model_context
A solar chimney is a type of passive solar ventilation system.,factual,,What kind of system is a solar chimney?,"A solar chimney is a passive solar energy system used for natural ventilation, cooling, and sometimes heating of buildings, or on a large scale, for generating electricity. It operates based on the principle of the stack effect (or thermosiphon effect), where hot air naturally rises due to its lower density compared to cooler air."
"In 1976, The Saints achieved a surprise victory over Manchester United to win the FA Cup.",factual,,Who did The Saints beat in 1976 to win the FA Cup?,The Saints (Southampton FC) beat Manchester United 1-0 in the 1976 FA Cup final.
"By 2011, Stan Kroenke owned 62.89% of the shares in Arsenal.",factual,,What percentage of shares in Arsenal did Kroenke own by 2011?,"Stan Kroenke owned approximately 66.82% of shares in Arsenal by the end of 2011. He had initially become the majority shareholder in April 2011, increasing his stake to around 62.89% through the purchase of shares from Danny Fiszman and Lady Nina Bracewell-Smith, a move which triggered a mandatory offer for the remaining shares."
"In 2015, Tuvalu refused to sell fishing days to certain nations and fleets.",factual,,What did Tuvalu refuse to sell in 2015?,"In 2015, Tuvalu refused to sell fishing days (licenses) to certain nations and their fishing fleets that had hindered Tuvaluan initiatives to develop and sustain their own fishery."
The HDI has been criticized for not considering a global perspective on development.,factual,,The HDI has been criticized for lack of what type of perspective on development?,"The Human Development Index (HDI) is most frequently criticized for its lack of an ecological or environmental sustainability perspective. Critics argue that by omitting environmental factors, the HDI promotes a model of development that is empirically incompatible with planetary boundaries."
"In 1991, Mali transitioned into a democratic, multi-party state following the establishment of a new constitution.",factual,,"Along with a new constitution, Mali became what type of state in 1991?","In 1991, following a military coup that ended decades of authoritarian rule, Mali transitionally became a multiparty democracy."
"After weeks of fighting, the Russians continued to maintain control over the Mamelon.",factual,,"After fighting for weeks, what did the Russians continue to have control over?","As of January 5, 2026, following years of fighting and recent weeks of intense tactical maneuvering, Russian forces maintain control over approximately 19.25% of Ukraine's total territory."
Speaker Martin believed that Eisenhower should have made better use of prominent Republicans whose services would have been available if asked.,factual,,Who did Martin think Eisenhower should have made better use of?,"""Martin"" (referring to Martin Luther King Jr.) believed that President Eisenhower should have made better use of his ""moral authority as President"" to advocate for civil rights and racial integration. King felt Eisenhower demanded too much patience from African Americans who had already waited centuries for equality."
"In addition to living in shtetls, maintaining a strong educational system for males, and rejecting the lifestyle of their neighbors, Jews in central and eastern Europe also followed rabbinic leadership.",factual,,"Besides living in shtetls, maintaining a strong system of education for males, and scorning the life-style of their neighbors, Jews in central and eastern Europe also did what?","In addition to maintaining tight-knit communities and separate lifestyles in shtetls, Jews in Central and Eastern Europe functioned as a critical middle class, bridging the gap between wealthy landowners and landless serfs through diverse economic and social roles."
"According to Hamp, the Pontic Indo-European languages, which include Armenian, Greek, and Ancient Macedonian, originated from the northeast coast of the Black Sea and its surrounding areas.",factual,,Where does Hamp say the Pontic Indo-European languages originate?,"Linguist Eric Hamp proposed that the Pontic Indo-European languages—a grouping that includes branches like Greek, Armenian, and Albanian—originated in the Black Sea region, specifically identifying a Northwest Pontic homeland."
The Russian Federation assumed the Soviet Union's membership in the United Nations on December 24th.,factual,,When did the Russian Federation assume the Soviet Union's membership in the UN?,"The Russian Federation officially assumed the seat of the Soviet Union in the United Nations on December 24, 1991."
"In his June 2008 speech, Timothy Geithner attributed the freezing of credit markets to the ""parallel"" banking system, also known as the shadow banking system.",factual,,"In a June 2008 speech, Timoty Geithner placed blame for credit market freezing on which system?","In a speech delivered on June 9, 2008, Timothy Geithner (then President of the Federal Reserve Bank of New York) placed significant blame for the freezing of credit markets on the shadow banking system, also referred to as the parallel banking system."
The two continents that make up a majority of the global population and generally do not observe Daylight Saving Time are Asia and Africa.,factual,,Which two continents that comprise a majority of the population worldwide don't observe DST?,The two continents that comprise the majority of the world's population and do not observe Daylight Saving Time (DST) are Asia and Africa.
The Cubs recorded a Major League record of 116 wins in the year 1906.,factual,,What year did the cubs record a Major League record of 116 wins?,"The Chicago Cubs recorded their Major League record of 116 wins in 1906. This record is tied with the 2001 Seattle Mariners for the most wins in a single MLB season, but the Cubs' .763 winning percentage remains the highest in history (since 1900) as they achieved it in a shorter, 152-game schedule."
Antarctica is the fifth-largest continent.,factual,,What is Antarctica's ranking among the continents?,"Antarctica's ranking among the world's seven continents varies significantly depending on the metric used. As of 2026, its positions are as follows:"
Al-Ghazali was the one who selectively used parts of Avicenna's philosophy to support his own attempts at gaining greater spiritual insights through various mystical means.,factual,,Who used only parts of Avicenna's works to support their own great spiritual insights?,The Islamic theologian and mystic al-Ghazali (d. 1111) selectively used parts of Avicenna's philosophy to support his own attempts to gain greater spiritual insights through a variety of mystical means.
"In the Pre-Modern era, religious officials were perceived as spiritual intermediaries between the common people and the divine.",factual,,What were Religious officials perceived as in the Pre-Modern era?,"In the pre-modern era, religious officials were perceived as essential intermediaries between the divine and humanity, often holding a status equivalent to or just below the nobility. Their roles extended far beyond spiritual guidance, encompassing significant legal, economic, and educational authority."
The warlord era came to an end in approximately 1927.,factual,,When did the warlord era end?,The Warlord Era in China is generally considered to have ended in 1928.
"Isabel, Countess of Gloucester, was released from imprisonment in the year 1214.",factual,,When was Isabel released from imprisonment?,"As the query does not specify a particular person, here are the release details for several notable individuals and fictional characters named Isabel or Isabelle:"
Paramount is currently owned by Viacom.,factual,,Who owns Paramount?,"As of 2026, Paramount (operating as Paramount Skydance) is owned and controlled by David Ellison. This follows a landmark $8 billion merger between Paramount Global and Skydance Media that officially closed on August 7, 2025."
Ramanuja lived from approximately 1037 to 1137 CE.,factual,,When did Ramanuja live?,"Ramanuja (also known as Ramanujacharya) was a prominent South Indian theologian and philosopher of the 11th and 12th centuries. According to widely held tradition, he lived for 120 years, from 1017 to 1137 CE."
The People's Republic of Korea was not recognized because it was suspected of being a communist government.,factual,,Why was the People's Republic of Korea not recognized?,"The Democratic People's Republic of Korea (DPRK), or North Korea, was not widely recognized as the sole legitimate government of the entire Korean Peninsula primarily due to Cold War politics, the rival claim of South Korea, and the United Nations' official recognition of the Republic of Korea (ROK) instead."
Muawiya II's reign began in the year 683.,factual,,When did Muawiya II's reign begin?,"Muawiya II's reign began on November 11, 683 CE."
"At the bottom of the Inn Valley, you can find rocks that were eroded during the most recent ice age.",factual,,What lays at the bottom of the Inn Valley,"The bottom of the Inn Valley primarily consists of a wide, densely settled flood plain made up of highly porous gravel beds of the Inn River, overlain by silty sands."
The approved bidder for the airport was the Italian firm Impregilo.,factual,,Who was the approved bidder for the airport?,"Because the term ""the airport"" is generic and multiple airport bidding processes occur simultaneously, several different entities have recently been approved for various contracts as of early 2026:"
"Neptune experiences extremely dynamic weather, characterized by intense storm systems.",factual,,What dynamic weather does Neptune have?,"Neptune possesses the most extreme and dynamic weather in the solar system, characterized by supersonic winds, massive shifting storms, and exotic precipitation. Unlike its neighbor Uranus, which is relatively calm, Neptune’s atmosphere is a ""raging, swirling maelstrom""."
NBA teams play eight preseason games each year.,factual,,How many preseason games do NBA teams play?,"NBA teams typically play between four and six preseason games, though the exact number can vary by team and year. The total number of preseason games for all teams in the 2025 preseason was 68. FanSided +2"
The Renaissance era saw the origin of many instruments.,factual,,Many instruments originated during what era?,"Many modern instruments originated or reached their ""classical"" forms during the Renaissance (1400–1600). However, the history of musical tools spans several major eras, each defined by different types of innovation."
Broadway is associated with the theater industry.,factual,,What industry is Broadway associated with?,Broadway is primarily associated with the commercial theater industry. It is also a significant sector within several broader industries:
"When red, green, and blue light are combined in equal proportions, the resulting color is white.",factual,,"What color light is created when one mixes red, green, and blue?","When red, green, and blue light are mixed together in equal proportions, they create white light."
The OSCE stated that Tajikistan's elections did not meet many important OSCE commitments and fell short on numerous fundamental democratic principles.,factual,,What did the OSCE say that Tajikistan did?,"In 2025, the Organization for Security and Co-operation in Europe (OSCE) and its Office for Democratic Institutions and Human Rights (ODIHR) criticized Tajikistan for failing to provide accreditation to international observers, leading to the cancellation of an election monitoring mission."
"The focus of aristocratic culture during this period was on hosting grand feasts in their halls, rather than engaging in literary pursuits.",factual,,What was the focus of aristocratic culture during this period?,"In 2026, aristocratic culture—increasingly referred to as the ""New Aristocracy""—focuses on a shift toward visible displays of status, refined intellectualism, and a ""cult of refinement"" that mirrors historical court societies."
"In 2009, Barcelona achieved the remarkable feat of winning all six competitions they participated in within a single year.",factual,,In 2009 Barcelona became the first team to win six of six competitions in what span of time?,"In 2009, FC Barcelona became the first team to win six of six competitions in a single calendar year. This monumental achievement is known as ""The Sextuple""."
"Muawiyah's wife, Maysum, belonged to the Kalb tribe, which followed the Jacobite Christian faith.",factual,,What was the religion of Muawiyah's wife's tribe?,"Muawiyah I's primary wife was Maysun bint Bahdal, who belonged to the Banu Kalb tribe."
Researchers can study a child's memory by using elicited imitation techniques.,factual,,How can a researcher study a childs memory?,"Researchers study children's memory using a combination of behavioral tasks, neuroimaging, and observational methods tailored to a child's developmental stage. Because infants and young children often lack the verbal skills to describe what they remember, researchers rely on indirect physical indicators of memory."
Antibiotics are also used in animal husbandry.,factual,,What besides sick people are antibiotics used for?,"Beyond treating sick people, antibiotics are used extensively in agriculture, food production, industrial processes, and preventive medicine for healthy individuals."
English Freemasonry nearly came to a halt in 1799 due to a Parliamentary proclamation known as the Unlawful Societies Act 1799.,factual,,Why did English Freemasonry almost come to a halt in 1799?,"In 1799, English Freemasonry almost came to a halt due to the passage of the Unlawful Societies Act."
There were ten finalists in the first season of American Idol.,factual,,How many finalists were there on the first season of American Idol?,There were 10 finalists in the first season of American Idol.
Ptolemy authored the influential astronomy text known as the Almagest.,factual,,What influential astronomy text did Ptomely author?,"Ptolemy (Claudius Ptolemaeus) authored several highly influential texts in the 2nd century AD, the most famous of which is the Almagest (originally titled Mathēmatikē Syntaxis or ""Mathematical Treatise"")."
Sir William Jones made an effort to catalog all the languages of the world in order to document his work.,factual,,What did Sir William Jones do to document his work?,"Sir William Jones documented his research and scholarly findings through a prolific output of published volumes, academic journals, and detailed personal manuscripts."
"The four cities in the European Union that are larger than Paris are London, Berlin, Madrid, and Rome.",factual,,What 4 cities are larger than Paris in the EU?,"When considering the population within city limits (the administrative area), Paris is the fourth largest city in the EU. The three cities larger than Paris are:"
"According to exiled leaders and organizations, the ethnic population is 40%, which differs from the CIA report (official US report).",factual,,Do opinions differ on the numbers for that population is considered not a part of the mainstream,"Opinions on the size of populations considered outside the ""mainstream"" differ significantly based on how ""mainstream"" is defined and how data is collected. Discrepancies often arise from political objectives, self-identification shifts, and methodological disputes in census reporting."
The city that was particularly significant for Hellenistic science was Alexandria in Egypt.,factual,,What city was especially important to Hellinistic science?,"The city of Alexandria in Egypt was the preeminent center of science and learning during the Hellenistic period. Founded by Alexander the Great in 331 BC, it served as the capital of the Ptolemaic Kingdom and became the ""intellectual powerhouse"" of the ancient world."
Approximately 1.1 million people in Estonia speak Estonian as their native language.,factual,,In Estonia how many people speak Estonian as their native language,"In Estonia, approximately 893,000 to 922,000 people speak Estonian as their native language. Wikipedia +2"
"The Mexican-American War, which was overseen by President Polk, might be the source of Tennessee's nickname, ""The Volunteer State.""",factual,,What conflict overseen by President Polk might be the source of Tennessee's nickname?,"President James K. Polk oversaw the Mexican-American War (1846–1848), which is widely credited with solidifying Tennessee’s nickname, ""The Volunteer State""."
Korean dictionaries of Chinese characters list the characters in radical order.,factual,,What lists Chinese characters in radical order?,"Several resources and tools list Chinese characters in radical order, a system traditionally used in lexicography to organize dictionaries."
The bands associated with the original post-punk movement caused it to end by moving away from its aesthetics and often embracing more commercial sounds.,factual,,How did bands associated with the original post-punk movement cause it to end?,"The original post-punk movement (roughly 1978–1984) largely ended because its key bands intentionally abandoned the movement's defining aesthetics in favor of commercial success and experimental diversification. By the mid-1980s, the genre had fragmented into new styles, causing the original cohesive movement to dissipate."
The constituent college belonged to the University of London.,factual,,Who did the constituent college belong to?,"A constituent college belongs to the larger university of which it is a part. The exact nature of this relationship can vary depending on the specific university structure (e.g., collegiate or federal) and the institution's governing documents."
Anti-Slavery International and the Environmental Justice Foundation (EJF) accused H&M of using products made by child labor.,factual,,Who accused H&M of using products made by child labours?,Various organizations and entities have accused H&M of utilizing child labor in its supply chain across different regions. Recent and notable accusations include:
The division of the Quran used for reading through the entire text in a month is called juz'.,factual,,What division of the Quran is used for a month-long reading?,"The division of the Quran used for a month-long reading is the Juz' (plural: Ajiza or Ajza), which divides the text into 30 equal parts."
"According to the World Bank, Switzerland ranks 8th globally in terms of GDP per capita when adjusted for purchasing power parity.",factual,,"What ranking does Switzerland hold in terms of GDP per capita, adjusting for purchasing power, according to the World Bank?",Switzerland currently holds the following rankings for GDP per capita (PPP) based on the most recently available World Bank data:
Joseph McCarthy made his declaration about communists being employed by the federal government in the year 1953.,factual,,In what year did Joseph McCarthy declare that the federal government was employing communists?,Joseph McCarthy first declared that the federal government was employing communists in 1950.
"In addition to Melanesia, a significant number of workers for the cocoa and rubber plantations in Samoa came from China.",factual,,"Besides Melanesia, which country sent many workers for the cocoa and rubber plantations in Samoa?","Aside from Melanesia, China was the primary country that provided thousands of laborers for Samoa's cocoa and rubber plantations during the late 19th and early 20th centuries."
"The torchbearer who sent a letter of protest to the president of the International Olympic Committee was Lê Minh Phiếu, a Vietnamese law student studying in France.",factual,,Which torchbearer sent a letter of protest to the president of the International Olympic Committee?,"In 2008, Lê Minh Phiếu, a Vietnamese law student and torchbearer for the Beijing Summer Olympics relay, sent an open letter of protest to the president of the International Olympic Committee (IOC), Jacques Rogge."
"The Foxconn factory was situated in Longhua, Shenzhen.",factual,,Where was the Foxconn plant located?,"Foxconn, a Taiwanese multinational electronics manufacturer, has multiple plants globally. Its most notable facilities are located in Zhengzhou, China, which is its largest factory and nicknamed ""iPhone City,"" and a high-profile, scaled-back project in Mount Pleasant, Wisconsin, US."
Nasser greatly admired the politician Mustafa Kamel.,factual,,What politician did Nasser admire?,Gamal Abdel Nasser expressed admiration for several historical and contemporary political figures who shaped his nationalist and anti-colonial worldview:
"The Far Eastside Plan aims to clear 1,200 acres of land.",factual,,How many acres of land does the Far Eastside Plan seek to clear?,"In 2026, the primary redevelopment efforts on Indianapolis' Far Eastside focus on a combined 38-acre project site. This initiative integrates two major properties that have recently undergone clearing:"
Beyoncé typically comes up with melodies and ideas to share with producers.,factual,,"Rather than beats, what two things does Beyoncé usually come up with for producers?","In her collaborations with music producers, Beyoncé typically provides melodies and vocal arrangements."
The extensive bombing by both sides during the war was credited with the changes that occurred to the interior.,factual,,Who was credited with changes that occurred to the interior due to the war's effects ?,"Major changes to the interior in the post-war era—particularly following World War II—are widely credited to Charles and Ray Eames, as well as other pioneering modernist designers."
"The incident that occurred on July 7, 1937 was the Marco Polo Bridge Incident.",factual,,"What incident occured on July 7, 1937?","On July 7, 1937, the Marco Polo Bridge Incident (also known as the July 7 Incident or Lugouqiao Incident) occurred near Beijing, China. This military clash is widely recognized as the start of the Second Sino-Japanese War (1937–1945)."
Sila is the second pāramitā.,factual,,Sila is the second what?,"In Buddhist teachings, Sila (or Sīla) refers to ethical conduct, virtue, or morality. It is specifically identified as:"
"The book was a bilingual translation of the Lutheran catechism, with text in both German and Estonian.",factual,,What type of book was it?,"To determine the ""type"" of a book, you can categorize it by its physical format or its literary genre."
Madonna won the Golden Globe Award for Best Actress in a Motion Picture Musical or Comedy for her role in the film Evita.,factual,,What award did Madonna win for the film Evita?,"For her performance in the 1996 film Evita, Madonna won the following awards:"
"The construction of Narayanhity was prompted by the marriage of King Birenda Bir Bikram Shah, who was then the heir apparent to the throne.",factual,,Whose marriage led to the construction of Narayanhity?,The modern Narayanhiti Palace was constructed to coincide with the marriage of Crown Prince Birendra Bir Bikram Shah to Aishwarya Rajya Laxmi Devi.
"By the 2005-06 fiscal year, public expenditure had increased to £12 million.",factual,,By 2005-06 public expenditure had risen to what?,"In 2005–06, public expenditure levels varied significantly depending on the geographic region and government level:"
"According to Foucault, the social duty of the police was to ""procure abundance,"" which involved ensuring the well-being and strength of the population through various administrative, economic, and social measures.",factual,,How did Foucault describe the social duty of police?,"In Michel Foucault’s analysis, the social duty of the police is described not as a simple crime-fighting role, but as a broad regulatory practice fundamental to the ""art of governing"" a population. His description varies across his historical works, shifting from a focus on individual discipline to the management of ""life"" itself."
Eclogue 4 was addressed to Asinius Pollio.,factual,,To whom was Eclogue 4 addressed to?,"Virgil's Eclogue 4 was addressed to his friend, the Roman consul Gaius Asinius Pollio. The poem was written around 40 BCE, a time of brief peace (the Treaty of Brundisium) during the Roman civil wars, and it celebrates the anticipated birth of a child who would usher in a new Golden Age of peace and justice."
The members of the upper house can be elected by the government or legislature of the component states.,factual,,Who can elect the members of the upper house? ,"In a bicameral legislature, the members of the ""upper house"" are elected or appointed through various methods depending on the country or state:"
"In 1919, it was Harrods that acquired the Manchester store.",factual,,Who acquired the Manchester store in 1919? ,"In 1919, the Manchester department store Kendal Milne & Co. (commonly known as Kendals) was acquired by Harrods."
"Valencia has hosted the Valencia Open 500, a prestigious tennis tournament.",factual,,What tennis event has Valencia hosted?,"Valencia has a rich history of hosting several professional tennis events for both men and women, ranging from annual tournaments to major international team competitions."
"During the summer solstice, the Romans' hora tertia lasted for 75 minutes.",factual,,"During the summer solstice, for how many minutes did hora tertia last for the Romans?","During the summer solstice in Rome, a daytime hour—including hora tertia (the third hour)—lasted for approximately 75 minutes."
"In 1674, a tornado hit the center of Utrecht.",factual,,In 1674 what hit Utrecht ,"In 1674, the city of Utrecht was hit by an exceptionally severe storm on the evening of August 1, which permanently altered its cityscape."
The Army consists of three brigades.,factual,,How many brigades does the Army consist of?,"As of 2026, the U.S. Army consists of 59 Brigade Combat Teams (BCTs), which serve as the Army's basic combined-arms tactical force. This total is divided between the Active Component and the Army National Guard:"
The commissioner is not permitted to vote on issues where their vote would constitute a decisive contribution.,factual,,What is the commissioner not allowed to vote on?,"In 2026, the restrictions on a commissioner's voting power depend on the specific type of commissioner role (e.g., U.S. House Resident Commissioner, County Commissioner, or Regulatory Commissioner)."
"In 1764, it was Captain John Byron who journeyed through the islands of Tuvalu during his global circumnavigation as the captain of the Dolphin (1751).",factual,,What explorer traveled through the Tuvalu islands in 1764?,The explorer who traveled through the Tuvalu islands in 1764 was Captain John Byron.
Beyonce rose to fame in the late 1990s.,factual,,In which decade did Beyonce become famous?,Beyoncé rose to fame in the late 1990s as a member of the R&B girl group Destiny's Child. She later established herself as a global superstar through her solo career starting in the early 2000s.
The vice-president was of Turkish Cypriot origin.,factual,,What type of person was the vice-president?,"As of 2026, the current Vice President of the United States is JD Vance, who took office on January 20, 2025."
"The primary purpose of software testing is to identify and locate bugs, errors, or other defects within the program or application.",factual,,What is the purpose of testing software?,"The primary purpose of testing software is to verify and validate that a product works as intended, meets user requirements, and is free of critical defects before reaching the end user. Beyond just ""finding bugs,"" software testing serves several strategic roles in the development lifecycle:"
The partitioning of the Ottoman Empire led to the establishment of the modern Arab world and the Republic of Turkey.,factual,,What did the partitioning of the Otto Empire bring about? ,The partitioning of the Ottoman Empire (1918–1922) fundamentally reshaped the Middle East by dismantling a 600-year-old imperial system and replacing it with modern nation-states and European spheres of influence.
"In 1966, Revue Productions was officially renamed as Universal Television.",factual,,What new name was given to Revue Productions in 1966?,"In 1966, Revue Productions (then operating as Revue Studios) was officially renamed Universal Television."
Aram Khatchaturian was a renowned classical music composer.,factual,,What was Aram Khatchaturian's career?,"Aram Khachaturian (1903–1978) was a legendary Soviet-Armenian composer, conductor, and educator celebrated for blending Armenian folk music with classical symphonic traditions. He is widely considered one of the three ""titans"" of Soviet music, alongside Dmitri Shostakovich and Sergei Prokofiev."
Reviewer R. A. Dave classified the novel as having elements of a classical tragedy.,factual,,Reviewer R. A. Dave classified the novel how?,"Reviewer R. A. Dave classified the novel ""To Kill a Mockingbird"" by Harper Lee as a classical tragedy."
The test flights are being conducted to calibrate the radio navigation equipment at the airport.,factual,,What are they calibrating via test flights at the airport?,"During test flights at an airport, specialized flight inspection aircraft calibrate ground-based navigational aids (NAVAIDs) and surveillance systems to ensure they provide precise guidance to pilots."
Advaita Vedantins believe that atman is the same as Brahman.,factual,,To what do Advaita Vedantins view atman as the same?,"In Advaita Vedanta, Atman (the individual self) is viewed as numerically identical to Brahman (the ultimate, universal reality). They are not two separate entities but one and the same unchanging, limitless consciousness."
Lynn Swann played for the Pittsburgh Steelers in the NFL.,factual,,For what NFL team did Lynn Swann play?,"Lynn Swann played his entire nine-season NFL career for the Pittsburgh Steelers. He was a key wide receiver for the team's dynasty in the 1970s, helping them win four Super Bowls."
The National Military Establishment consisted of three subordinate divisions.,factual,,How many subordinate divisions did the National Military Establishment contain?,The National Military Establishment (NME) contained three subordinate military departments:
"According to the U.S. Census Bureau, the total population of New Haven in 2010 was 129,779.",factual,,What is the total population of New Haven as reported by the U.S. Census Bureau in 2010?,"As of the 2010 U.S. Census, the total population of New Haven, Connecticut, was 129,779."
"Yes, during the early Cold War era, a number of Burmese films contained significant propaganda elements, which were used to influence the population.",factual,,Where any of the Burmese films ever used as an instrument to influence the people ?,"Yes, Burmese films have been used as powerful instruments of influence by various political regimes and social movements for over a century."
Copper is used in electrical wires for 60% of its total applications.,factual,,What percentage of copper is used in electrical wires?,"In electrical applications, copper is typically used in its most refined form to ensure maximum conductivity. The percentage can refer to either the purity of the metal itself or the weight of copper relative to the insulation in a cable."
"The band Def Leppard, which is named after an animal, has been inspired by Queen.",factual,,This band named after an animal was inspired by Queen?,"While many bands have animal-inspired names, the group most famously cited as being directly inspired by Queen is The Killers, who chose their name based on a fictional band featured in the music video for the New Order song ""Crystal."" However, regarding animal-themed names specifically:"
Insects are the only invertebrates that have evolved the ability to fly.,factual,,Insects are the only invertebrates that have evolved into what?,Insects are the only invertebrates that have evolved powered flight.
The senators who held a hearing about video game violence in 1993 were Herb Kohl and Joe Lieberman.,factual,,Which senators held a hearing about video game violence in 1993?,The 1993 Senate hearings on video game violence were primarily led and attended by three senators:
Southampton is located at the northern tip of Southampton Water.,factual,,At which tip of Southampton Water is Southampton located?,"Southampton is located at the northern tip (also described as the northernmost point or head) of Southampton Water. At this location, the River Test and River Itchen converge."
Capello resigned as England's football manager in the year 2012.,factual,,In what year did Capello resign as England's football manager?,"Fabio Capello resigned as England's football manager in 2012. His departure in February 2012 came four months before the Euro 2012 tournament was set to begin, stemming from a disagreement with the Football Association (FA) over their decision to strip John Terry of the England captaincy without consulting the manager."
The purpose of the fourth rail is to carry the electrical return current.,factual,,What is the purpose of the forth rail?,"The term ""forth rail"" can refer to two distinct things in a railway context: the famous Forth Bridge in Scotland, or a literal fourth rail used in some electrified railway systems."
SEPTA service was cut in 1981.,factual,,When did SEPTA service get cut?,"Major SEPTA service cuts occurred in August 2025, though many were eventually restored by September 14, 2025, following a court order and emergency funding."
The primary use of a phonographic disc record was for reproducing music.,factual,,What was the primary use of a phonographic disc record?,"The primary use of a phonographic disc record, also known as a gramophone record or vinyl record, was for the commercial reproduction and distribution of music throughout most of the 20th century."
The public transit in Valencia is operated by Ferrocarrils de la Generalitat Valenciana (FGV).,factual,,What group runs Valencia's public transit?,Valencia's public transit is run by a combination of public and private entities under the coordination of the Valencia Metropolitan Transport Authority (ATMV). The primary operators are:
"The typical upper limit of human hearing is around 20,000 Hz.",factual,,What is the higher end of typical human hearing?,"The higher end of typical human hearing is generally cited as 20,000 Hertz (20 kHz). This represents the theoretical upper limit for healthy, young ears under ideal conditions."
"Kanye West debuted his second fashion line on March 6, 2012.",factual,,When did Kanye debut his second effort in the fashion world?,"Kanye West's ""second effort"" in the fashion world depends on whether the term refers to his individual designer label or his subsequent major brand era (Yeezy)."
"The era of planning in Himachal Pradesh began in 1948, which was the same time as the rest of India.",factual,,When did the era of planning start in Himachal Pradesh?,"The era of planning in Himachal Pradesh started in 1948. The first five-year plan was initiated in 1951, in alignment with the national planning model for India."
The Latin title for Avicenna's psychology sections in his Book of Healing is De Anima.,factual,,What is the Latin for Avicenna's psychology parts in his Book of Healing?,"In the Latin tradition, the psychological section of Avicenna’s Book of Healing (Kitāb al-Shifā’) is titled Liber de Anima (""Book of the Soul""). It is also technically known as the Sextus de Naturalibus (""Sixth [Book] of Natural Things""), reflecting its position as the sixth part of the natural sciences division within the larger encyclopedia."
