answer,type,context,question
"On August 31, 2011, the CBC announced that it would not extend its association with any of its private affiliates beyond that date.",factual,"According to filings to the Canadian Radio-television and Telecommunications Commission (CRTC) by Thunder Bay Electronics (owner of CBC's Thunder Bay affiliate CKPR-DT) and Bell Media (owner of CBC affiliates CFTK-TV in Terrace and CJDC-TV in Dawson Creek),[citation needed] the CBC informed them that it will not extend its association with any of its private affiliates beyond August 31, 2011. Incidentally, that was also the date for analogue to digital transition in Canada. Given recent practice and the CBC's decision not to convert any retransmitters to digital, even in markets with populations in the hundreds in thousands, it is not expected that the CBC will open new transmitters to replace its affiliates, and indeed may pare back its existing transmitter network. However, in March 2011, CKPR announced that it had come to a programming agreement with the CBC, in which the station will continue to provide CBC programming in Thunder Bay for a period of five years. On March 16, 2012, Astral Media announced the sale of its assets to Bell Media, owners of CTV and CTV Two, for $3.38 billion with CFTK and CJDC included in the acquisition. Whether the stations will remain CBC affiliates or become owned-and-operated stations of CTV or CTV Two following the completion of the merger is undetermined.","What did CBC announce on August 31, 2011?"
The Alexandrian people wanted Athanasius to be their Bishop.,factual,"Frances A. M. Forbes writes that when the Patriarch Alexander was on his death-bed he called Athanasius, who fled fearing he would be constrained to be made Bishop. ""When the Bishops of the Church assembled to elect their new Patriarch, the whole Catholic population surrounded the church, holding up their hands to Heaven and crying; ""Give us Athanasius!"" The Bishops had nothing better. Athanasius was thus elected, as Gregory tells us..."" (Pope Gregory I, would have full access to the Vatican Archives).",Who did the Alexandrian people want to be their Bishop?
The overuse of medicine also led to antibiotic resistance.,factual,"Antibiotics revolutionized medicine in the 20th century, and have together with vaccination led to the near eradication of diseases such as tuberculosis in the developed world. Their effectiveness and easy access led to overuse, especially in livestock raising, prompting bacteria to develop resistance. This has led to widespread problems with antimicrobial and antibiotic resistance, so much as to prompt the World Health Organization to classify antimicrobial resistance as a ""serious threat [that] is no longer a prediction for the future, it is happening right now in every region of the world and has the potential to affect anyone, of any age, in any country"".","Besides antimicrobial, what did the overused medicine cause? "
Avicenna feared the political consequences that could arise from stating his theories on philosophy more explicitly.,factual,"There are occasional brief hints and allusions in his longer works however that Avicenna considered philosophy as the only sensible way to distinguish real prophecy from illusion. He did not state this more clearly because of the political implications of such a theory, if prophecy could be questioned, and also because most of the time he was writing shorter works which concentrated on explaining his theories on philosophy and theology clearly, without digressing to consider epistemological matters which could only be properly considered by other philosophers.",What did Avicenna fear about stating his theories on philosophy more clearly?
Various state-based Aboriginal Protection Boards were established to control the lives of Indigenous Australians.,factual,"Being identified as either ""black"" or ""white"" in Australia during the 19th and early 20th centuries was critical in one's employment and social prospects. Various state-based Aboriginal Protection Boards were established which had virtually complete control over the lives of Indigenous Australians – where they lived, their employment, marriage, education and included the power to separate children from their parents. Aborigines were not allowed to vote and were often confined to reserves and forced into low paid or effectively slave labour. The social position of mixed-race or ""half-caste"" individuals varied over time. A 1913 report by Sir Baldwin Spencer states that:",What was established to control the Indigenous Australians?
"To prevent dehydration, an oral rehydration solution (ORS) can be used. This is a slightly sweetened and salty water that helps replenish fluids and electrolytes.",factual,"Oral rehydration solution (ORS) (a slightly sweetened and salty water) can be used to prevent dehydration. Standard home solutions such as salted rice water, salted yogurt drinks, vegetable and chicken soups with salt can be given. Home solutions such as water in which cereal has been cooked, unsalted soup, green coconut water, weak tea (unsweetened), and unsweetened fresh fruit juices can have from half a teaspoon to full teaspoon of salt (from one-and-a-half to three grams) added per liter. Clean plain water can also be one of several fluids given. There are commercial solutions such as Pedialyte, and relief agencies such as UNICEF widely distribute packets of salts and sugar. A WHO publication for physicians recommends a homemade ORS consisting of one liter water with one teaspoon salt (3 grams) and two tablespoons sugar (18 grams) added (approximately the ""taste of tears""). Rehydration Project recommends adding the same amount of sugar but only one-half a teaspoon of salt, stating that this more dilute approach is less risky with very little loss of effectiveness. Both agree that drinks with too much sugar or salt can make dehydration worse.",What can be used to prevent dehydration?
Italy holds the title for the world's largest market for elevators.,factual,"As of January 2008, Spain is the nation with the most elevators installed in the world, with 950,000 elevators installed that run more than one hundred million lifts every day, followed by United States with 700,000 elevators installed and China with 610,000 elevators installed since 1949. In Brazil, it is estimated that there are approximately 300,000 elevators currently in operation. The world's largest market for elevators is Italy, with more than 1,629 million euros of sales and 1,224 million euros of internal market.",What country boasts the worlds largest market for elevators?
The Russian language program at BYU holds the designation of being the largest of its kind in the United States.,factual,"Over three quarters of the student body has some proficiency in a second language (numbering 107 languages in total). This is partially due to the fact that 45 percent of the student body at BYU has been missionaries for LDS Church, and many of them learned a foreign language as part of their mission assignment. During any given semester, about one-third of the student body is enrolled in foreign language classes, a rate nearly four times the national average. BYU offers courses in over 60 different languages, many with advanced courses that are seldom offered elsewhere. Several of its language programs are the largest of their kind in the nation, the Russian program being one example. The university was selected by the United States Department of Education as the location of the national Middle East Language Resource Center, making the school a hub for experts on that region. It was also selected as a Center for International Business Education Research, a function of which is to train business employees in international languages and relations.",What designation does BYU's Russian language program hold?
"In the United States, it is the federal government that promotes the use of racially categorized data.",factual,"In the United States, federal government policy promotes the use of racially categorized data to identify and address health disparities between racial or ethnic groups. In clinical settings, race has sometimes been considered in the diagnosis and treatment of medical conditions. Doctors have noted that some medical conditions are more prevalent in certain racial or ethnic groups than in others, without being sure of the cause of those differences. Recent interest in race-based medicine, or race-targeted pharmacogenomics, has been fueled by the proliferation of human genetic data which followed the decoding of the human genome in the first decade of the twenty-first century. There is an active debate among biomedical researchers about the meaning and importance of race in their research. Proponents of the use of racial categories in biomedicine argue that continued use of racial categorizations in biomedical research and clinical practice makes possible the application of new genetic findings, and provides a clue to diagnosis.",Who promotes the use of racially categorized data in the United States?
"According to the 'home grown' rule introduced in the 2010-11 Premier League season, a minimum of 8 players in a club's registered 25-man squad must be 'home-grown players', which means they must have been developed in the UK or Ireland for a certain period of their career.",factual,"Players may only be transferred during transfer windows that are set by the Football Association. The two transfer windows run from the last day of the season to 31 August and from 31 December to 31 January. Player registrations cannot be exchanged outside these windows except under specific licence from the FA, usually on an emergency basis. As of the 2010–11 season, the Premier League introduced new rules mandating that each club must register a maximum 25-man squad of players aged over 21, with the squad list only allowed to be changed in transfer windows or in exceptional circumstances. This was to enable the 'home grown' rule to be enacted, whereby the League would also from 2010 require at least 8 of the named 25 man squad to be made up of 'home-grown players'.",How many of a 25-member Premier League squad must be from the UK or Ireland?
Gradual sea level rise allows for an increase in coral reefs.,factual,"The atolls have shown resilience to gradual sea-level rise, with atolls and reef islands being able to grow under current climate conditions by generating sufficient sand and coral debris that accumulates and gets dumped on the islands during cyclones. Gradual sea-level rise also allows for coral polyp activity to increase the reefs. However, if the increase in sea level occurs at faster rate as compared to coral growth, or if polyp activity is damaged by ocean acidification, then the resilience of the atolls and reef islands is less certain. The 2011 report of Pacific Climate Change Science Program of Australia concludes, in relation to Tuvalu, states the conclusions that over the course of the 21st century:",What does gradual sea level rise allow for coral to increase?
"In its first year, Tribeca featured a showcase of producers who work exclusively online.",factual,"Cara Cusumano, director of the Tribeca Film Festival, stated in April 2014: ""Piracy is less about people not wanting to pay and more about just wanting the immediacy – people saying, 'I want to watch Spiderman right now' and downloading it"". The statement occurred during the third year that the festival used the Internet to present its content, while it was the first year that it featured a showcase of content producers who work exclusively online. Cusumano further explained that downloading behavior is not merely conducted by people who merely want to obtain content for free:",It was the first year of Tribeca featuring a showcase of producers who do what?
"Factions within nonpartisan systems often develop into political parties, unless there are legal restrictions in place to prevent this from happening.",factual,"In a nonpartisan system, no official political parties exist, sometimes reflecting legal restrictions on political parties. In nonpartisan elections, each candidate is eligible for office on his or her own merits. In nonpartisan legislatures, there are no typically formal party alignments within the legislature. The administration of George Washington and the first few sessions of the United States Congress were nonpartisan. Washington also warned against political parties during his Farewell Address. In the United States, the unicameral legislature of Nebraska is nonpartisan but is elected and votes on informal party lines. In Canada, the territorial legislatures of the Northwest Territories and Nunavut are nonpartisan. In New Zealand, Tokelau has a nonpartisan parliament. Many city and county governments[vague] are nonpartisan. Nonpartisan elections and modes of governance are common outside of state institutions. Unless there are legal prohibitions against political parties, factions within nonpartisan systems often evolve into political parties.",What do factions within nonpartisan systems evolve into?
"The Hephthalite Empire, a collection of nomadic tribes, brought Islam practices with them when they moved into the region in the early eighth century.",factual,"The Kushan Empire, a collection of Yuezhi tribes, took control of the region in the first century CE and ruled until the 4th century CE during which time Buddhism, Nestorian Christianity, Zoroastrianism, and Manichaeism were all practiced in the region. Later the Hephthalite Empire, a collection of nomadic tribes, moved into the region and Arabs brought Islam in the early eighth century. Central Asia continued in its role as a commercial crossroads, linking China, the steppes to the north, and the Islamic heartland.",What empire brought Islam practices with them?
Portsmouth is part of the South Hampshire metropolitan area.,factual,"In the 2001 census Southampton and Portsmouth were recorded as being parts of separate urban areas, however by the time of the 2011 census they had merged to become the sixth largest built-up area in England with a population of 855,569. This built-up area is part of the metropolitan area known as South Hampshire, which is also known as Solent City, particularly in the media when discussing local governance organisational changes. With a population of over 1.5 million this makes the region one of the United Kingdom's most populous metropolitan areas.",What metropolitan area is Portsmouth a part of?
One of the duties that a newly elected magistrate could expect to perform would be to look for omens.,factual,"Each republican magistrate held certain constitutional powers. Only the People of Rome (both plebeians and patricians) had the right to confer these powers on any individual magistrate. The most powerful constitutional power was imperium. Imperium was held by both consuls and praetors. Imperium gave a magistrate the authority to command a military force. All magistrates also had the power of coercion. This was used by magistrates to maintain public order. While in Rome, all citizens had a judgement against coercion. This protection was called provocatio (see below). Magistrates also had both the power and the duty to look for omens. This power would often be used to obstruct political opponents.",What would be one of the duties that a newly elected magistrate could expect to perform?
The Houston ship channel has played a significant role in promoting the success of the petrochemical complex in the area.,factual,"The Houston area is a leading center for building oilfield equipment. Much of its success as a petrochemical complex is due to its busy ship channel, the Port of Houston. In the United States, the port ranks first in international commerce and tenth among the largest ports in the world. Unlike most places, high oil and gasoline prices are beneficial for Houston's economy, as many of its residents are employed in the energy industry. Houston is the beginning or end point of numerous oil, gas, and products pipelines:",What has the Houston ship channel served to promote into success?
The customary calendar of Iran is the Shamsi Hijri calendar.,factual,"The Solar Hijri calendar, also called the Shamsi Hijri calendar, and abbreviated as SH, is the official calendar of Iran and Afghanistan. It begins on the vernal equinox. Each of the twelve months corresponds with a zodiac sign. The first six months have 31 days, the next five have 30 days, and the last month has 29 days in usual years but 30 days in leap years. The year of Prophet Muhammad's migration to Medina (622 CE) is fixed as the first year of the calendar, and the New Year's Day always falls on the March equinox.",What is the customary calendar of Iran?
"In Popper's view, we don't need to search for good positive reasons to support theories.",factual,"To Popper, who was an anti-justificationist, traditional philosophy is misled by the false principle of sufficient reason. He thinks that no assumption can ever be or needs ever to be justified, so a lack of justification is not a justification for doubt. Instead, theories should be tested and scrutinised. It is not the goal to bless theories with claims of certainty or justification, but to eliminate errors in them. He writes, ""there are no such things as good positive reasons; nor do we need such things [...] But [philosophers] obviously cannot quite bring [themselves] to believe that this is my opinion, let alone that it is right"" (The Philosophy of Karl Popper, p. 1043)",What don't we need to look for about theories in Popper's view?
Gladstone was a member of the Liberal Party.,factual,"The 19th-century Liberal Prime Minister William Ewart Gladstone considered Burke ""a magazine of wisdom on Ireland and America"" and in his diary recorded: ""Made many extracts from Burke—sometimes almost divine"". The Radical MP and anti-Corn Law activist Richard Cobden often praised Burke's Thoughts and Details on Scarcity. The Liberal historian Lord Acton considered Burke one of the three greatest Liberals, along with William Gladstone and Thomas Babington Macaulay. Lord Macaulay recorded in his diary: ""I have now finished reading again most of Burke's works. Admirable! The greatest man since Milton"". The Gladstonian Liberal MP John Morley published two books on Burke (including a biography) and was influenced by Burke, including his views on prejudice. The Cobdenite Radical Francis Hirst thought Burke deserved ""a place among English libertarians, even though of all lovers of liberty and of all reformers he was the most conservative, the least abstract, always anxious to preserve and renovate rather than to innovate. In politics he resembled the modern architect who would restore an old house instead of pulling it down to construct a new one on the site"". Burke's Reflections on the Revolution in France was controversial at the time of its publication, but after his death, it was to become his best known and most influential work, and a manifesto for Conservative thinking.",What political party was Gladstone in?
Scout embarrasses and humiliates her classmate Walter Cunningham at the Finch home.,factual,"In a 1964 interview, Lee remarked that her aspiration was ""to be ... the Jane Austen of South Alabama."" Both Austen and Lee challenged the social status quo and valued individual worth over social standing. When Scout embarrasses her poorer classmate, Walter Cunningham, at the Finch home one day, Calpurnia, their black cook, chastises and punishes her for doing so. Atticus respects Calpurnia's judgment, and later in the book even stands up to his sister, the formidable Aunt Alexandra, when she strongly suggests they fire Calpurnia. One writer notes that Scout, ""in Austenian fashion"", satirizes women with whom she does not wish to identify. Literary critic Jean Blackall lists the priorities shared by the two authors: ""affirmation of order in society, obedience, courtesy, and respect for the individual without regard for status"".",Who does Scout Tease and humiliate at their house?
OFUNAM is an acronym for the Philharmonic Orchestra of the National Autonomous University of Mexico.,factual,"Mexico City is home to a number of orchestras offering season programs. These include the Mexico City Philharmonic, which performs at the Sala Ollin Yoliztli; the National Symphony Orchestra, whose home base is the Palacio de Bellas Artes (Palace of the Fine Arts), a masterpiece of art nouveau and art decó styles; the Philharmonic Orchestra of the National Autonomous University of Mexico (OFUNAM), and the Minería Symphony Orchestra, both of which perform at the Sala Nezahualcóyotl, which was the first wrap-around concert hall in the Western Hemisphere when inaugurated in 1976. There are also many smaller ensembles that enrich the city's musical scene, including the Carlos Chávez Youth Symphony, the New World Orchestra (Orquesta del Nuevo Mundo), the National Polytechnical Symphony and the Bellas Artes Chamber Orchestra (Orquesta de Cámara de Bellas Artes).",What does OFUNAM stand for?
"The French were equipped with bronze, rifled muzzle-loading artillery.",factual,"The French were equipped with bronze, rifled muzzle-loading artillery, while the Prussians used new steel breech-loading guns, which had a far longer range and a faster rate of fire. Prussian gunners strove for a high rate of fire, which was discouraged in the French army in the belief that it wasted ammunition. In addition, the Prussian artillery batteries had 30% more guns than their French counterparts. The Prussian guns typically opened fire at a range of 2–3 kilometres (1.2–1.9 mi), beyond the range of French artillery or the Chassepot rifle. The Prussian batteries could thus destroy French artillery with impunity, before being moved forward to directly support infantry attacks.",What type of artillery were the French equipped with?
"During the fall Daylight Saving Time transition, Pacific Time and Mountain Time remain at the same time for a one-hour period.",factual,"Coordination strategies differ when adjacent time zones shift clocks. The European Union shifts all at once, at 01:00 UTC or 02:00 CET or 03:00 EET; for example, Eastern European Time is always one hour ahead of Central European Time. Most of North America shifts at 02:00 local time, so its zones do not shift at the same time; for example, Mountain Time is temporarily (for one hour) zero hours ahead of Pacific Time, instead of one hour ahead, in the autumn and two hours, instead of one, ahead of Pacific Time in the spring. In the past, Australian districts went even further and did not always agree on start and end dates; for example, in 2008 most DST-observing areas shifted clocks forward on October 5 but Western Australia shifted on October 26. In some cases only part of a country shifts; for example, in the US, Hawaii and most of Arizona do not observe DST.","At DST in the fall, how long does it stay the same time in both Pacific and Mountain time in the United States?"
The course of study at the Notre Dame School of Architecture is five years in length.,factual,"The School of Architecture was established in 1899, although degrees in architecture were first awarded by the university in 1898. Today the school, housed in Bond Hall, offers a five-year undergraduate program leading to the Bachelor of Architecture degree. All undergraduate students study the third year of the program in Rome. The university is globally recognized for its Notre Dame School of Architecture, a faculty that teaches (pre-modernist) traditional and classical architecture and urban planning (e.g. following the principles of New Urbanism and New Classical Architecture). It also awards the renowned annual Driehaus Architecture Prize.",What length is the course of study at the Notre Dame School of Architecture?
Cultural elites were the ones who sometimes viewed popular culture as posing a threat to culture and society.,factual,"Comics in the US has had a lowbrow reputation stemming from its roots in mass culture; cultural elites sometimes saw popular culture as threatening culture and society. In the latter half of the 20th century, popular culture won greater acceptance, and the lines between high and low culture began to blur. Comics nevertheless continued to be stigmatized, as the medium was seen as entertainment for children and illiterates.",Who thought pop culture was a risk?
"Flora Gomes' most famous film is Nha Fala, which translates to ""My Voice"" in English.",factual,"Flora Gomes is an internationally renowned film director; his most famous film is Nha Fala (English: My Voice). Gomes's Mortu Nega (Death Denied) (1988) was the first fiction film and the second feature film ever made in Guinea-Bissau. (The first feature film was N’tturudu, by director Umban u’Kest in 1987.) At FESPACO 1989, Mortu Nega won the prestigious Oumarou Ganda Prize. Mortu Nega is in Creole with English subtitles. In 1992, Gomes directed Udju Azul di Yonta, which was screened in the Un Certain Regard section at the 1992 Cannes Film Festival. Gomes has also served on the boards of many Africa-centric film festivals.",What is Flora Gomes' most famous film?
"The most unpopular aspect of the war for civilians was the blackout, which lasted for almost six years and was more disliked than rationing.",factual,"The government planned to voluntarily evacuate four million people—mostly women and children—from urban areas, including 1.4 million from London. It expected about 90% of evacuees to stay in private homes, and conducted an extensive survey to determine available space. Detailed preparations for transporting them were developed. A trial blackout was held on 10 August 1939, and when Germany invaded Poland on 1 September a blackout began at sunset. Lights would not be allowed after dark for almost six years, and the blackout became by far the most unpopular aspect of the war for civilians, more than rationing.:51,106 The relocation of the government and the civil service was also planned, but would only have occurred if necessary so as not to damage civilian morale.:33",What was most unpopular affect of the war with civilians ?
"Public spending carries inherent risks of cronyism, in addition to kickbacks and embezzlement.",factual,"Extensive and diverse public spending is, in itself, inherently at risk of cronyism, kickbacks, and embezzlement. Complicated regulations and arbitrary, unsupervised official conduct exacerbate the problem. This is one argument for privatization and deregulation. Opponents of privatization see the argument as ideological. The argument that corruption necessarily follows from the opportunity is weakened by the existence of countries with low to non-existent corruption but large public sectors, like the Nordic countries. These countries score high on the Ease of Doing Business Index, due to good and often simple regulations, and have rule of law firmly established. Therefore, due to their lack of corruption in the first place, they can run large public sectors without inducing political corruption. Recent evidence that takes both the size of expenditures and regulatory complexity into account has found that high-income democracies with more expansive state sectors do indeed have higher levels of corruption.","Public spending has risks of kickbacks, embezzlement and what?"
The Central African Republic Bush War began in 2004.,factual,"In 2004 the Central African Republic Bush War began as forces opposed to Bozizé took up arms against his government. In May 2005 Bozizé won a presidential election that excluded Patassé and in 2006 fighting continued between the government and the rebels. In November 2006, Bozizé's government requested French military support to help them repel rebels who had taken control of towns in the country's northern regions. Though the initially public details of the agreement pertained to logistics and intelligence, the French assistance eventually included strikes by Mirage jets against rebel positions.",What war started in 2004?
"Saburahu meant ""to serve"" or ""to attend.""",factual,"The term samurai originally meant ""those who serve in close attendance to nobility"", and was written with a Chinese character (or kanji) that had the same meaning. In Japanese, it was originally recorded in the Nara Period as a verb *samorapu (""to watch, to keep watch, to observe, to be on the lookout for something; to serve, to attend""), which is believed to be derived from the frequentative form (*morapu 守らふ) of the verb moru (守る, ""to watch, to guard, to be on the lookout; to keep, to protect, to take care of, to be in charge of, to have as one's ward""). By the Heian period, this word had developed into the verb saburahu (さぶらふ, ""to serve, to attend""), from which a deverbal noun saburahi (さぶらひ, ""servant, attendant"") was later derived, and this noun then yielded samurahi (さむらひ) in the Edo period. In Japanese literature, there is an early reference to samurai in the Kokinshū (古今集, early 10th century):",What did 'saburahu' mean?
"Some common vegetables used in Cyprus include courgettes, green peppers, okra, and green beans.",factual,"Fresh vegetables and fruits are common ingredients. Frequently used vegetables include courgettes, green peppers, okra, green beans, artichokes, carrots, tomatoes, cucumbers, lettuce and grape leaves, and pulses such as beans, broad beans, peas, black-eyed beans, chick-peas and lentils. The most common fruits and nuts are pears, apples, grapes, oranges, mandarines, nectarines, medlar, blackberries, cherry, strawberries, figs, watermelon, melon, avocado, lemon, pistachio, almond, chestnut, walnut, and hazelnut.",Can you name some common vegetables used in Cyprus?
The Olin Business School was named after entrepreneur John M. Olin in 1988.,factual,"Founded as the School of Commerce and Finance in 1917, the Olin Business School was named after entrepreneur John M. Olin in 1988. The school's academic programs include BSBA, MBA, Professional MBA (PMBA), Executive MBA (EMBA), MS in Finance, MS in Supply Chain Management, MS in Customer Analytics, Master of Accounting, Global Master of Finance Dual Degree program, and Doctorate programs, as well as non-degree executive education. In 2002, an Executive MBA program was established in Shanghai, in cooperation with Fudan University.",When was Olin Business School named?
Samuel Adelstein was the person who described the Lombardi mandolin as being wider and shorter in comparison to the Neapolitan mandolin.,factual,"Samuel Adelstein described the Lombardi mandolin in 1893 as wider and shorter than the Neapolitan mandolin, with a shallower back and a shorter and wider neck, with six single strings to the regular mandolin's set of 4. The Lombardi was tuned C, D, A, E, B, G. The strings were fastened to the bridge like a guitar's. There were 20 frets, covering three octaves, with an additional 5 notes. When Adelstein wrote, there were no nylon strings, and the gut and single strings ""do not vibrate so clearly and sweetly as the double steel string of the Neapolitan.""",Who described the Lombardi mandolin as wider and shorter than the Neoapolitan mandolin?
"The current name for Russia was added to the Russian constitution on April 21, 1992.",factual,"On December 25, 1991, following the collapse of the Soviet Union, the republic was renamed the Russian Federation, which it remains to this day. This name and ""Russia"" were specified as the official state names in the April 21, 1992 amendment to the existing constitution and were retained as such in the 1993 Constitution of Russia.",When was the current name for Russia added to the Russian constitution?
The company that operates The Sun is called News Corporation.,factual,"Politically, the paper's stance was less clear under Prime Minister Gordon Brown who succeeded Blair in June 2007. Its editorials were critical of many of Brown's policies and often more supportive of those of Conservative leader David Cameron. Rupert Murdoch, head of The Sun's parent company News Corporation, speaking at a 2007 meeting with the House of Lords Select Committee on Communications, which was investigating media ownership and the news, said that he acts as a ""traditional proprietor"". This means he exercises editorial control on major issues such as which political party to back in a general election or which policy to adopt on Europe.",What is the name of the company that operates The Sun?
Louis the German's lands were located in modern-day Germany.,factual,"A three-year civil war followed his death. By the Treaty of Verdun (843), a kingdom between the Rhine and Rhone rivers was created for Lothair to go with his lands in Italy, and his imperial title was recognised. Louis the German was in control of Bavaria and the eastern lands in modern-day Germany. Charles the Bald received the western Frankish lands, comprising most of modern-day France. Charlemagne's grandsons and great-grandsons divided their kingdoms between their descendants, eventually causing all internal cohesion to be lost.[N] In 987 the Carolingian dynasty was replaced in the western lands, with the crowning of Hugh Capet (r. 987–996) as king.[O][P] In the eastern lands the dynasty had died out earlier, in 911, with the death of Louis the Child, and the selection of the unrelated Conrad I (r. 911–918) as king.",In what modern country were Louis the German's lands?
