answer,type,context,question,model_context
"In 1921, there were 206,000 recorded cases of diphtheria in the United States.",factual,,How many cases of Diphtheria were there in 1921?,"In 1921, there were 206,000 recorded cases of diphtheria in the United States. This year marked the peak of the diphtheria epidemic in the U.S. before the widespread availability of vaccines."
The newer model was called the AV Famicom.,factual,,What was the newer model called?,"Without more context about the brand or product you are referring to, it is difficult to give a specific name. However, here are some notable ""newer"" models recently in the news:"
"Japan's largest military ship, the Izumo, measures 820 feet (250 meters) in length.",factual,,How long is Japan's largest military ship?,"Japan's largest military ships, the Izumo-class multi-role cruisers (formerly classified as helicopter destroyers), are 248 meters (814 feet) long. There are two ships in this class, the JS Izumo and the JS Kaga."
"Due to Nasser's difficulties, it was Saudi King Faisal who took on a more prominent leadership role at the Arab League summit in Khartoum.",factual,,What leader assumed a more prominent position due to Nasser's difficulites?,"After Gamal Abdel Nasser's political and regional influence declined following Egypt's defeat in the 1967 Six-Day War, several leaders and movements rose to greater prominence:"
"The Tulsa Talons relocated to San Antonio, Texas.",factual,,To what city did the Tulsa Talons relocate?,"The Tulsa Talons arena football team relocated to San Antonio, Texas, after the 2011 season. The team was renamed the San Antonio Talons."
Copper and zinc are combined to form brass.,factual,,Copper and zinc combine to make what?,Copper and zinc combine to form a metallic alloy known as brass.
Filters that are imperfect require a larger margin for error.,factual,,What kind of filter requires a larger margin for error?,"In technical and engineering contexts, filters that deal with high variability, high sensitivity to noise, or critical stability requirements generally require a larger margin for error (often referred to as a safety margin or design margin)."
Some kinds of antimicrobials were first used over 2000 years ago.,factual,,When were some kinds of antimicrobials first used?,"Antimicrobial use traces back thousands of years to ancient civilizations, but modern clinical applications emerged primarily in the late 19th and early 20th centuries."
"As of 2000, the latest legal closing time for pubs in England on Sundays was 10:30 pm.",factual,,What was the latest legal closing time on Sundays in English pubs as of 2000?,"As of 2000, the latest legal closing time for English pubs on Sundays was 10:30 p.m.."
Eisenhower was particularly fond of the sport of golf.,factual,,What sport did Eisenhower notably enjoy?,"Dwight D. Eisenhower notably enjoyed golf as an adult and president, as well as fishing and bridge throughout his life. While he loved many sports, his high-profile golfing as president is considered to have significantly increased the sport's popularity in the United States."
The northern Appalachian Mountains were the mountains associated with the USA that formed near the equator on Pangaea during the Devonian period.,factual,,Which mountains associated with the USA were formed near the equator on  Pangaea during the Devonian?,"The mountains associated with the United States that formed near the equator on the supercontinent of Pangaea during the Devonian period are the Appalachian Mountains, specifically through a tectonic event known as the Acadian orogeny."
One Thousand and One Nights was first translated in the West during the 18th century.,factual,,When did One Thousand and One Nights first get translated in the West?,"The first Western translation of One Thousand and One Nights appeared in French between 1704 and 1717. It was translated by the French orientalist and archaeologist Antoine Galland, who published it under the title Les mille et une nuits."
Resafa was located in the northern part of Syria.,factual,,In what part of Syria was Resafa located?,"Resafa, also known as Sergiopolis, is located in north-central Syria within the modern-day Raqqa Governorate."
American culture places a strong emphasis on individual characteristics and perceives the self as fixed and consistent.,factual,,What does the american culture put a large emphasis on?,"American culture in 2026 continues to place heavy emphasis on several core pillars, most notably individualism, equality, and hard work. While values vary across its diverse population, several key themes remain prominent:"
The thalamus is a part of the diencephalon.,factual,,What is the thalamus a part of?,"The thalamus is a symmetrical, egg-shaped structure of gray matter that serves as the brain's primary relay and integration hub."
Benjamin K. Sovacool is the individual who argued that certain obstacles hindering renewable energy in the United States are more closely related to cultural and institutional factors rather than issues of engineering and science.,factual,,Who argued that some of the problems facing renewable energy are more about culture and institutions than engineering and science?,"Benjamin K. Sovacool, a prominent energy policy scholar, is the primary proponent of the argument that the challenges facing renewable energy are more about culture and institutions than engineering and science."
The AFL agreed to broadcast a minimum of 17 regular season games.,factual,,"At minimum, how many regular season games did the AFL agree to broadcast?",The American Football League (AFL) signed a five-year television contract with ABC in 1960 that called for the broadcast of approximately 37 regular season games per year. Another source indicates the number was 32 games in total per year. These were broadcast regionally on 15 consecutive Sundays and on Thanksgiving Day.
The GL carpet was supported by six GCI sets that controlled night-fighters equipped with radar.,factual,,What supported the GL carpet?,"Depending on the context, ""GL carpet"" refers either to the interior flooring of a Mercedes-Benz GL-Class vehicle or the industry's Green Label Plus (GLP) certification program."
The least fragile disc format before 1919 was the Amberol cylinder.,factual,,What disc format was the least fragile prior to 1919?,"Prior to 1919, the least fragile disc format was the Edison Diamond Disc."
Prince Albert passed away in the year 1861.,factual,,What year did Prince Albert die?,Prince Albert died at the age of 42 in 1861.
"William Windham, a political ally of Burke, delivered speeches in Parliament that were strikingly similar to Burke's in style and content.",factual,,Who made speeches very similar to Burke's in Parliament?,"While Edmund Burke’s oratorical style was famously unique for its ""florid, heated, [and] emotive"" nature, several of his contemporaries and successors in Parliament shared his rhetorical themes or directly modeled their speeches after him."
"Currently, the use of lasers in anti-aircraft warfare is considered to be at the stage of experimental usefulness.",factual,,The use of lasers in anti-aircraft warfare is currently considered what?,"The use of lasers in anti-aircraft warfare is currently considered a transformative military advancement, often cited as the most significant since the atomic bomb. While high-power systems for destroying large aircraft remain largely in the experimental or advanced testing stages, smaller-scale systems are already seeing operational deployment, particularly for counter-drone (C-UAS) and short-range air defense (SHORAD) missions."
CES sponsors BYU's sister schools in Hawaii and Idaho.,factual,,Where does CES sponsor BYU's sister schools?,"The Church Educational System (CES) sponsors several sister schools to Brigham Young University (BYU), primarily located in the Western United States and Hawaii."
"At the end of the regal period, the plebeian class was excluded from the state political and priesthood arenas.",factual,,"At the end of the regal period, what class was kept out of the state political and priesthood arenas?","At the end of the Roman regal period and into the early Republic, the plebeians (or plebs) were the class systematically kept out of state political and priesthood arenas."
The technology that supports the consumption of chilled beer is artificial refrigeration.,factual,,What technology support the drinking of chilled beer?,Technology for chilling beer ranges from large-scale commercial draught systems to consumer-level rapid cooling gadgets and smart indicators.
"The book that recommends capitalizing the first word and all nouns, pronouns, adjectives, verbs, and adverbs is R. M. Ritter's Oxford Manual of Style, published in 2002.",factual,,"Which book of literature standards suggests capitalizing the first word and all nouns, pronouns, adjectives, verbs, and adverbs?","While most major style manuals follow this general pattern for ""title case,"" the Chicago Manual of Style (CMOS) is the most prominent literary standard that explicitly defines its ""headline-style"" capitalization using these exact parts of speech."
This implies the use of an additional set of pronouns for formal situations.,factual,,What does this imply the use an extra group of pronouns for?,Using multiple sets of pronouns (such as she/they or he/xe) often implies a nuanced or expansive gender identity that a single set cannot fully capture.
The highwayman Dick Turpin used the Swan Inn at Woughton-on-the-Green in Buckinghamshire as his base.,factual,,Who was based out of the Swan Inn?,"The Norwich Company of Comedians (a pioneering theatre group) was based out of the Swan Inn on Theatre Street (also known as the White Swan Inn) in Norwich, England, from approximately 1730 until 1758."
"The Swiss national football team is nicknamed the ""Nati"".",factual,,What is the nickname for the Swiss national football team?,"The primary nickname for the Swiss national football team is Nati (or Die Nati in German and La Nati in French/Italian), which is short for ""National Team""."
Surgeonfish are found in the shallow waters close to the shoreline in St. Barts.,factual,,Where are surgeonfish found in St. Barts?,"In 2026, surgeonfish (Acanthuridae) are widely distributed across the coral reefs and protected marine areas of St. Barts. They are most commonly spotted in shallow, clear waters near the shore and within the island's nature reserves."
Masjid Bilal is situated on Chimbarazoo Boulevard.,factual,,On what street is Masjid Bilal located?,"Because many mosques share the name Masjid Bilal, its location depends on which city you are referring to. Here are several prominent locations:"
"The New Romantic subcultural scene began to emphasize glamour, fashion, and escapism, in contrast to the experimental seriousness of earlier post-punk groups.",factual,,"Which new cultural movement began to emphasize glam, escapism and fashion?","The movement that began to emphasize glam, escapism, and fashion is most prominently identified as the Aesthetic Movement (also known as Aestheticism), which flourished in the late 19th century."
"The CIA has claimed ignorance regarding Gaddafi's upcoming coup, stating that they were instead monitoring Abdul Aziz Shalhi's Black Boots revolutionary group.",factual,,Did the CIA confirm knowledge of Gaddafi's upcoming coup?:,"Declassified documents and historical records indicate that the CIA was not surprised by the 1969 coup that brought Muammar Gaddafi to power, though they did not actively intervene to stop it."
"Spielberg served as one of the co-producers on the 1987 film ""Batteries Not Included"".",factual,,What was Spielberg's role on 'Batteries Not Included'?,Steven Spielberg was the Executive Producer for the 1987 film Batteries Not Included.
The Soviet Union provided military aid to Egypt by resupplying about half of its former arsenals.,factual,,What nation granted military aid to Egypt?,The United States is the primary nation that consistently grants significant military aid to Egypt.
"Seattle experienced a snow event with snow drifting to 6 feet from January 5 to January 9, 1880.",factual,,On what dates did Seattle experience a snow event of 6 feet?,"While Seattle has never officially recorded 6 feet of snow in a single event since official record-keeping began, historical accounts from the ""Big Snow of 1880"" describe conditions that reached or exceeded that depth."
"The only electrified railway line in Galicia is the one connecting Ponferrada, Monforte de Lemos, Ourense, and Vigo.",factual,,What is the name of its only electrified railway?,"The name of ""its"" only electrified railway depends on which region or country the question is referring to, as several places have only one electrified line or system."
The Louvre Pyramid was built by I.M. Pei.,factual,,Who built the Louvre Pyramid?,The Louvre Pyramid was designed by the Chinese-American architect I. M. Pei.
The zinc zinc-oxide cycle is a thermochemical process.,factual,,What kind of process is the zinc zinc-oxide cycle?,The zinc zinc-oxide (Zn–ZnO) cycle is a two-step thermochemical cycle primarily used for splitting water or carbon dioxide to produce sustainable fuels. It is a closed-loop redox (reduction-oxidation) process that converts thermal energy—typically from concentrated solar power—into chemical energy.
"Compass-M1 transmits in three frequency bands: E2, E5B, and E6.",factual,,What frequency bands does Compass-M1 transmit in?,The Compass-M1 satellite transmits signals in three frequency bands:
The provisions of ANCSA that would have allowed the corporations to sell their land holdings on the open market starting in 1991 were repealed before they could be implemented.,factual,,Was a law enacted in 1991 allowing corporations to sell land holdings or was it repealed?,"While there is no single 1991 law by that general name, the year 1991 marked a critical legal shift for Alaska Native Corporations (ANCs). Under the Alaska Native Claims Settlement Act (ANCSA), these corporations were initially prohibited from selling their stock to non-Natives."
"At the time of Elizabeth's birth, her parents held the titles of Duke and Duchess of York.",factual,,"At the time of her birth, what was the rank of Elizabeth's parents?","At the time of Elizabeth II's birth on April 21, 1926, her parents held the following ranks:"
"Web browsers are composed of various components, including the user interface, UI backend, layout engine, and other elements, which together provide all the functionalities of the browser.",factual,,"A user interface, UI backend, layout engine and other things are part of what?",Those components are the foundational building blocks of Web Browser Architecture.
A high number of children also worked in prostitution.,factual,,Was it a low amount or high amount of children that also worked in prostitution? ,
Virgilius was the spelling used for Vergilius during the Late Empire and Middle Ages time periods.,factual,,During which time period was Vergilius spelled Virgilius?,The original spelling Vergilius was changed to Virgilius by approximately the 4th or 5th century AD.
The Germans were surprised to find that Frossard had retreated from his position on the heights the following day.,factual,,What outcome surprised the Germans the following day?,"On the day following the initial D-Day landings (June 7, 1944), German command remained surprised by the realization that the Normandy landings were not a diversion, but the primary invasion force."
The Ottoman government deported the ethnic Armenian population from eastern Anatolia.,factual,,What ethnic group was deported by the Ottoman Government from eastern Anatolia?,"In 1915, the Ottoman government primarily deported ethnic Armenians from eastern Anatolia as part of a systematic campaign now widely known as the Armenian Genocide."
The new wing of the palace in 1847 was designed by architect Edward Blore.,factual,,Who designed the new wing for the palace in 1847?,The new East Wing for Buckingham Palace was designed by the architect Edward Blore in 1847. The work was carried out between 1847 and 1849 to accommodate Queen Victoria's growing family and court life.
General Ducrot was in command of the 1st Division.,factual,,What group did General Ducrot command?,"General Ducrot commanded several different groups and corps throughout his career, most notably the I Corps at the Battle of Sedan and the 14th Army Corps during the Siege of Paris."
"In 2013, solar energy accounted for less than 1% of the world's total grid electricity generation.",factual,,Less than 1% of the world's total grid electricity was generated by solar energy in what year?,"Solar energy first reached 1% of global electricity generation in 2015. Consequently, solar energy accounted for less than 1% of the world's total grid electricity in every year prior to 2015."
"The classification was made to allow Chinese South Africans who lived through the apartheid era, and their descendants, to access affirmative action benefits, as they were also disadvantaged by the racial discrimination during that time.",factual,,Why was this classification made?,"General classification systems are typically created to organize vast amounts of data into manageable and logical categories, making complex information easier to understand and communicate."
The term BSoD refers to the Blue Screen of Death.,factual,,What does BSoD stand for?,BSoD stands for Blue Screen of Death.
"Eratosthenes, a geographer, was the one who accurately calculated the circumference of the Earth.",factual,,Who was able to determine the circumference of the Earth?,The first person known to have scientifically calculated the circumference of the Earth was the ancient Greek polymath Eratosthenes of Cyrene.
Ceefax was launched in 1974.,factual,,When was Ceefax launched?,"Ceefax was officially launched on September 23, 1974."
"The East India Company's financial struggles due to the cost of wars in gaining control over India led them to seek help from Parliament, resulting in the Charter Act of 1813.",factual,,EIC reached out to parliament for help with finances. this lead to which Act?,The Regulating Act of 1773 was passed after the British East India Company (EIC) faced a severe financial crisis and requested a loan of £1 million from the British government in 1772. This Act represented the first step by the British Parliament to control and regulate the company's affairs in India.
"The European Union exercises collective influence through alternative means such as trade and diplomacy, rather than relying on military dominance.",factual,,What other tools are used as alternative to military force?,"In international relations, states use several non-military tools—often categorized as diplomacy, economic statecraft, and soft power—to influence other nations, resolve conflicts, and promote their interests without resorting to armed force."
"In 2015, NBC Sports secured a six-year extension for their broadcasting rights with the Premier League.",factual,,How many years did NBC Sports receive an extension for with the Premier League in 2015?,"In 2015, NBC Sports Group received a six-year extension with the Premier League to remain the exclusive U.S. media home through the 2021-22 season."
"Approximately 3,000 survivors were found in Yingxiu Town, Wenchuan.",factual,,How many survivors were found?,"In the aftermath of the September 11, 2001 attacks on the World Trade Center, 20 survivors were rescued alive from the rubble."
"Madonna revealed to Vanity Fair in an interview that during her youth, she felt like a lonely girl constantly searching for something.",factual,,"Who did Madonna tell in an interview that as a young girl, she was lonely and always searching for something?","Madonna shared that sentiment in an interview with Oprah Winfrey for O, The Oprah Magazine, published in 2002. She reiterated the idea in a 2019 interview with The Guardian, stating she ""wanted to be somebody – because [she] felt like a nobody""."
"The George Washington Bridge, starting in Manhattan, ends in Bergen County, New Jersey.",factual,,"Starting in Manhattan, the George Washington Bridge terminates in what New Jersey county?","The George Washington Bridge terminates in Bergen County, New Jersey. Specifically, it connects the Washington Heights neighborhood of Manhattan with the borough of Fort Lee, New Jersey."
The county in England that was named after Hampton is Hampshire.,factual,,What county in England was named after Hampton?,"In England, Northamptonshire and Hampshire are the counties with names derived from ""Hampton"" (originally the Anglo-Saxon Hamtun)."
"The person who criticized Madonna's charity efforts and accused her of exaggerating her contributions was Malawi's President, Joyce Banda.",factual,,"Who criticized Madonna's charity efforts, stating that she exaggerated her contributions?","In 2013, the Malawian government, then led by President Joyce Banda, issued a scathing statement accusing Madonna of exaggerating her charitable contributions to the country."
Air defence was separated from the Army in Pakistan in the year 1990.,factual,,Air defence in Pakistan was separated from the Army in what year?,Air defence in Pakistan was separated from the Artillery and established as a distinct arm within the Pakistan Army in 1989.
The reference to London was dropped from the Royal Institute's name in 1892.,factual,,When was the mention of London removed from the Royal Institute's name?,The reference to London was dropped from the name of the Royal Institute of British Architects (RIBA) in 1892.
"Another road they are responsible for is the AG-41, which connects Pontevedra to Sanxenxo.",factual,,Name another road they responsible for.,"Depending on the context of which organization or entity you are referring to, their responsibilities often extend to several other categories of thoroughfares:"
Epistolae was published in the year 1470.,factual,,When was Epistolae published?,"The term ""Epistolae"" (Latin for ""Letters"") refers to several distinct literary and historical collections. The publication dates depend on which work is being referenced:"
The Taff Vale Case in 1901 boosted support for the LRC.,factual,,What boosted support in 1901?,"The query ""What boosted support in 1901?"" is broad. Several areas saw boosted support around 1901, including:"
"After the 5-year embargo period, during which Ancestry.com has exclusive use of the digitized records, the digital records will be transferred to the National Archives.",factual,,What happens after the 5 year embargo that allows Ancestry.com exclusive use of digitized records?,"After the exclusive embargo period (typically 3 to 5 years) ends, the digitized records are transferred to the public domain or the original holding institution to be made available for free."
The special edition iPod was produced in the year 2006.,factual,,In what year was a special edition of the iPod produced?,Apple produced multiple special and limited edition iPods between 2002 and 2009.
Iwo Jima is located halfway between the Mariana Islands and Tokyo.,factual,,Iwo Jima is halfway between the Mariana Islands and what city?,"Iwo Jima is located approximately halfway between the Mariana Islands (specifically Saipan) and Tokyo, Japan."
"The Kathmandu Contemporary Art Centre, a UK-based charity, works to promote and support the arts in Kathmandu.",factual,,What UK charity works on behalf of Kathmandu art?,"Several UK charities have worked with art related to Kathmandu and Nepal, including Art Refuge, which used art therapy for Tibetan refugees in Kathmandu, and the Himalayan & Nepal Arts & Culture Society (HANACS), which promotes Nepalese arts and culture in the UK. Another is the now-removed charity Kathmandu Contemporary Arts Centre, which focused on advancing public education and appreciation of Nepalese contemporary art."
Bern invaded Aargau in the year 1415.,factual,,What year did Bern invade Aargau?,Bern invaded and conquered Aargau in 1415.
