answer,type,context,question,qwen
George Armstrong Custer was the leader of the Wolverine Brigade.,factual,"Numerous men from Detroit volunteered to fight for the Union during the American Civil War, including the 24th Michigan Infantry Regiment (part of the legendary Iron Brigade), which fought with distinction and suffered 82% casualties at the Battle of Gettysburg in 1863. When the First Volunteer Infantry Regiment arrived to fortify Washington, DC, President Abraham Lincoln is quoted as saying ""Thank God for Michigan!"" George Armstrong Custer led the Michigan Brigade during the Civil War and called them the ""Wolverines"".",Who led the Wolverine Brigade?,"""factual"""
Friendly football matches are considered to be non-competitive.,factual,"Since the introduction of league football, most club sides play a number of friendlies before the start of each season (called pre-season friendlies). Friendly football matches are considered to be non-competitive and are only used to ""warm up"" players for a new season/competitive match. There is generally nothing competitive at stake and some rules may be changed or experimented with (such as unlimited substitutions, which allow teams to play younger, less experienced, players, and no cards). Although most friendlies are simply one-off matches arranged by the clubs themselves, in which a certain amount is paid by the challenger club to the incumbent club, some teams do compete in short tournaments, such as the Emirates Cup, Teresa Herrera Trophy and the Amsterdam Tournament. Although these events may involve sponsorship deals and the awarding of a trophy and may even be broadcast on television, there is little prestige attached to them.",What type of football matches are non-competitive?,"""factual"""
The Gupta script evolved between the fourth and eighth centuries.,factual,"Brahmi evolved into a multiplicity of Brahmic scripts, many of which were used to write Sanskrit. Roughly contemporary with the Brahmi, Kharosthi was used in the northwest of the subcontinent. Sometime between the fourth and eighth centuries, the Gupta script, derived from Brahmi, became prevalent. Around the eighth century, the Śāradā script evolved out of the Gupta script. The latter was displaced in its turn by Devanagari in the 11th or 12th century, with intermediary stages such as the Siddhaṃ script. In East India, the Bengali alphabet, and, later, the Odia alphabet, were used.","Between the forth and eighth century, what script evolved?","""factual"""
"The band Blue Öyster Cult had a hit single with the song ""(Don't Fear) The Reaper"".",factual,"In the United States, macabre-rock pioneer Alice Cooper achieved mainstream success with the top ten album School's Out (1972). In the following year blues rockers ZZ Top released their classic album Tres Hombres and Aerosmith produced their eponymous début, as did Southern rockers Lynyrd Skynyrd and proto-punk outfit New York Dolls, demonstrating the diverse directions being pursued in the genre. Montrose, including the instrumental talent of Ronnie Montrose and vocals of Sammy Hagar and arguably the first all American hard rock band to challenge the British dominance of the genre, released their first album in 1973. Kiss built on the theatrics of Alice Cooper and the look of the New York Dolls to produce a unique band persona, achieving their commercial breakthrough with the double live album Alive! in 1975 and helping to take hard rock into the stadium rock era. In the mid-1970s Aerosmith achieved their commercial and artistic breakthrough with Toys in the Attic (1975), which reached number 11 in the American album chart, and Rocks (1976), which peaked at number three. Blue Öyster Cult, formed in the late 60s, picked up on some of the elements introduced by Black Sabbath with their breakthrough live gold album On Your Feet or on Your Knees (1975), followed by their first platinum album, Agents of Fortune (1976), containing the hit single ""(Don't Fear) The Reaper"", which reached number 12 on the Billboard charts. Journey released their eponymous debut in 1975 and the next year Boston released their highly successful début album. In the same year, hard rock bands featuring women saw commercial success as Heart released Dreamboat Annie and The Runaways débuted with their self-titled album. While Heart had a more folk-oriented hard rock sound, the Runaways leaned more towards a mix of punk-influenced music and hard rock. The Amboy Dukes, having emerged from the Detroit garage rock scene and most famous for their Top 20 psychedelic hit ""Journey to the Center of the Mind"" (1968), were dissolved by their guitarist Ted Nugent, who embarked on a solo career that resulted in four successive multi-platinum albums between Ted Nugent (1975) and his best selling Double Live Gonzo (1978).","Who had a hit single with ""(Don't Fear) The Reaper""?","""factual"""
Beyoncé's skin was allegedly lightened in advertisements for L'Oréal's Feria hair color product line.,factual,"Beyoncé's lighter skin color and costuming has drawn criticism from some in the African-American community. Emmett Price, a professor of music at Northeastern University, wrote in 2007, that he thinks race plays a role in many of these criticisms, saying white celebrities who dress similarly do not attract as many comments. In 2008, L'Oréal was accused of whitening her skin in their Feria hair color advertisements, responding that ""it is categorically untrue"", and in 2013, Beyoncé herself criticized H&M for their proposed ""retouching"" of promotional images of her, and according to Vogue requested that only ""natural pictures be used"".",What advertisement was Beyoncé's skin supposedly lightened in?,"""factual"""
"Queen Victoria's most trusted ally and manservant was John Brown, a Scottish man who served her increasingly through the 1860s.",factual,"Through the 1860s, Victoria relied increasingly on a manservant from Scotland, John Brown. Slanderous rumours of a romantic connection and even a secret marriage appeared in print, and the Queen was referred to as ""Mrs. Brown"". The story of their relationship was the subject of the 1997 movie Mrs. Brown. A painting by Sir Edwin Henry Landseer depicting the Queen with Brown was exhibited at the Royal Academy, and Victoria published a book, Leaves from the Journal of Our Life in the Highlands, which featured Brown prominently and in which the Queen praised him highly.",Which manservent was Victoria's most trusted ally?,"""factual"""
AT&T Inc.,contradiction,"Comcast Corporation, formerly registered as Comcast Holdings,[note 1] is an American multinational mass media company and is the largest broadcasting and largest cable company in the world by revenue. It is the second largest pay-TV company after the AT&T-DirecTV acquisition, largest cable TV company and largest home Internet service provider in the United States, and the nation's third largest home telephone service provider. Comcast services U.S. residential and commercial customers in 40 states and the District of Columbia. The company's headquarters are located in Philadelphia, Pennsylvania.",What is the largest cable company in the world by revenue?,contradiction
The Edict of Milan redefined Imperial ideology as one of mutual toleration.,factual,"Constantine successfully balanced his own role as an instrument of the pax deorum with the power of the Christian priesthoods in determining what was (in traditional Roman terms) auspicious - or in Christian terms, what was orthodox. The edict of Milan (313) redefined Imperial ideology as one of mutual toleration. Constantine had triumphed under the signum (sign) of the Christ: Christianity was therefore officially embraced along with traditional religions and from his new Eastern capital, Constantine could be seen to embody both Christian and Hellenic religious interests. He may have officially ended – or attempted to end – blood sacrifices to the genius of living emperors but his Imperial iconography and court ceremonial outstripped Diocletian's in their supra-human elevation of the Imperial hierarch. His later direct intervention in Church affairs proved a political masterstroke. Constantine united the empire as an absolute head of state, and on his death, he was honored as a Christian, Imperial, and ""divus"".",What edict defined imperial ideas as being those of toleration?,"""factual"""
"In addition to the train lines, Union Station is also connected with United Airlines services.",factual,"Union Station is further served by four Amtrak lines: the Northeast Regional and the high-speed Acela Express provide service to New York, Washington, D.C. and Boston, and rank as the first and second busiest routes in the country; the New Haven–Springfield Line provides service to Hartford and Springfield, Massachusetts; and the Vermonter provides service to both Washington, D.C., and Vermont, 15 miles (24 km) from the Canadian border. Amtrak also codeshares with United Airlines for travel to any airport serviced by United Airlines, via Newark Airport (EWR) originating from or terminating at Union Station, (IATA: ZVE).","In additions, the train line is also connected with which airline services?","""factual"""
Arno Tausch is from the Corvinus University of Budapest.,factual,"In a factor analysis of the latest wave of World Values Survey data, Arno Tausch (Corvinus University of Budapest) found that Protestantism emerges to be very close to combining religion and the traditions of liberalism. The Global Value Development Index, calculated by Tausch, relies on the World Values Survey dimensions such as trust in the state of law, no support for shadow economy, postmaterial activism, support for democracy, a non-acceptance of violence, xenophobia and racism, trust in transnational capital and Universities, confidence in the market economy, supporting gender justice, and engaging in environmental activism, etc.",What university is Arno Tausch from?,"""factual"""
"The Federal War concluded with the signing of the Treaty of Coche, an agreement between the centralist government and the Federal Forces at that time.",factual,"The Federal War ended in 1863 with the signing of the Treaty of Coche by both the centralist government of the time and the Federal Forces. The United States of Venezuela were subsequently incorporated under a ""Federation of Sovereign States"" upon principles borrowed from the Articles of Confederation of the United States of America. In this Federation, each State had a ""President"" of its own that controlled almost every issue, even the creation of ""State Armies,"" while the Federal Army was required to obtain presidential permission to enter any given state.",How did the federal war end? ,"""factual"""
"As of 2014, YouTube had 800 million unique users visiting the site each month.",factual,"In 2014 YouTube said that 300 hours of new videos were uploaded to the site every minute, three times more than one year earlier and that around three quarters of the material comes from outside the U.S. The site has 800 million unique users a month. It is estimated that in 2007 YouTube consumed as much bandwidth as the entire Internet in 2000. According to third-party web analytics providers, Alexa and SimilarWeb, YouTube is the third most visited website in the world, as of June 2015; SimilarWeb also lists YouTube as the top TV and video website globally, attracting more than 15 billion visitors per month.",How many unique visitors a month were tracked as of 2014?,"""factual"""
"No, creating an endospore is not a reproductive process. In most cases, only one endospore is formed per cell, and it serves as a dormant, highly resistant structure rather than a means of reproduction.",factual,"Certain genera of Gram-positive bacteria, such as Bacillus, Clostridium, Sporohalobacter, Anaerobacter, and Heliobacterium, can form highly resistant, dormant structures called endospores. In almost all cases, one endospore is formed and this is not a reproductive process, although Anaerobacter can make up to seven endospores in a single cell. Endospores have a central core of cytoplasm containing DNA and ribosomes surrounded by a cortex layer and protected by an impermeable and rigid coat. Dipicolinic acid is a chemical compound that composes 5% to 15% of the dry weight of bacterial spores. It is implicated as responsible for the heat resistance of the endospore.",Is creating endospore a reproductive process?,"""factual"""
The Security Council Resolution that recommended the Marshall Islands be allowed to join the UN is Resolution 704.,irrelevant,"Earthworms make a significant contribution to soil fertility. The rear end of the Palolo worm, a marine polychaete that tunnels through coral, detaches in order to spawn at the surface, and the people of Samoa regard these spawning modules as a delicacy. Anglers sometimes find that worms are more effective bait than artificial flies, and worms can be kept for several days in a tin lined with damp moss. Ragworms are commercially important as bait and as food sources for aquaculture, and there have been proposals to farm them in order to reduce over-fishing of their natural populations. Some marine polychaetes' predation on molluscs causes serious losses to fishery and aquaculture operations.",What do some polychaetes eat that has been causing problems?,irrelevant
"Sultan Selim I considered the Anatolian Alevis, also known as Qizilbash, to be heretics and consequently ordered their massacre.",factual,"Muslim sects regarded as heretical, such as the Druze, Ismailis, Alevis, and Alawites, ranked below Jews and Christians. In 1514, Sultan Selim I, nicknamed ""the Grim"" because of his cruelty, ordered the massacre of 40,000 Anatolian Alevis (Qizilbash), whom he considered heretics, reportedly proclaiming that ""the killing of one Alevi had as much otherworldly reward as killing 70 Christians.""[page needed] Selim was also responsible for an unprecedented and rapid expansion of the Ottoman Empire into the Middle East, especially through his conquest of the entire Mamluk Sultanate of Egypt, which included much of the region. With these conquests, Selim further solidified the Ottoman claim for being an Islamic caliphate, although Ottoman sultans had been claiming the title of caliph since the 14th century starting with Murad I (reigned 1362 to 1389). The caliphate would remain held by Ottoman sultans for the rest of the office's duration, which ended with its abolition on 3 March 1924 by the Grand National Assembly of Turkey and the exile of the last caliph, Abdülmecid II, to France.",What group did Sultan Selim I consider heretics and subsequently slaughter?,"""factual"""
A total of 24 EditDroid systems were ever constructed.,irrelevant,"Population growth is higher than the national average, with a 6.4% increase, in the Somerset County Council area, since 1991, and a 17% increase since 1981. The population density is 1.4 persons per hectare, which can be compared to 2.07 persons per hectare for the South West region. Within the county, population density ranges 0.5 in West Somerset to 2.2 persons per hectare in Taunton Deane. The percentage of the population who are economically active is higher than the regional and national average, and the unemployment rate is lower than the regional and national average.",What is the population growth rate of Somerset county ,irrelevant
"Arab admirers of Nasser referred to themselves as ""Nasserites,"" even though Nasser himself preferred the term ""Arab nationalists.""",factual,"By 1957, pan-Arabism was the dominant ideology of the Arab world, and the average Arab citizen considered Nasser his undisputed leader. Historian Adeed Dawisha credited Nasser's status to his ""charisma, bolstered by his perceived victory in the Suez Crisis"". The Cairo-based Voice of the Arabs radio station spread Nasser's ideas of united Arab action throughout the Arabic-speaking world and historian Eugene Rogan wrote, ""Nasser conquered the Arab world by radio."" Lebanese sympathizers of Nasser and the Egyptian embassy in Beirut—the press center of the Arab world—bought out Lebanese media outlets to further disseminate Nasser's ideals. Nasser also enjoyed the support of Arab nationalist organizations, both civilian and paramilitary, throughout the region. His followers were numerous and well-funded, but lacked any permanent structure and organization. They called themselves ""Nasserites"", despite Nasser's objection to the label (he preferred the term ""Arab nationalists"").",What were Arab admirers of Nasser called?,"""factual"""
"The mayor of Nagano, Shoichi Washizawa, described the opportunity for Nagano to host the torch event as a ""great nuisance.""",factual,"In Japan, the Mayor of Nagano, Shoichi Washizawa said that it has become a ""great nuisance"" for the city to host the torch relay prior to the Nagano leg. Washizawa's aides said the mayor's remark was not criticism about the relay itself but about the potential disruptions and confusion surrounding it.　A city employee of the Nagano City Office ridiculed the protests in Europe, he said ""They are doing something foolish"", in a televised interview. Nagano City officially apologized later and explained what he had wanted to say was ""Such violent protests were not easy to accept"". Also citing concerns about protests as well as the recent violence in Tibet, a major Buddhist temple in Nagano cancelled its plans to host the opening stage of the Olympic torch relay, this temple was vandalised by an un-identified person the day after in apparent revenge,",What did he call the opportunity for Nagano to host the torch event?,contradiction
The country that was divided at the end of World War II was Korea.,irrelevant,"In the 16th century political and religious changes altered the attitude of historians towards John. Tudor historians were generally favourably inclined towards the king, focusing on John's opposition to the Papacy and his promotion of the special rights and prerogatives of a king. Revisionist histories written by John Foxe, William Tyndale and Robert Barnes portrayed John as an early Protestant hero, and John Foxe included the king in his Book of Martyrs. John Speed's Historie of Great Britaine in 1632 praised John's ""great renown"" as a king; he blamed the bias of medieval chroniclers for the king's poor reputation.","What praised John's ""great renown"" as a king?",irrelevant
The first edition of the ASCII standard was published in 1963.,factual,"ASCII developed from telegraphic codes. Its first commercial use was as a seven-bit teleprinter code promoted by Bell data services. Work on the ASCII standard began on October 6, 1960, with the first meeting of the American Standards Association's (ASA) X3.2 subcommittee. The first edition of the standard was published during 1963, underwent a major revision during 1967, and experienced its most recent update during 1986. Compared to earlier telegraph codes, the proposed Bell code and ASCII were both ordered for more convenient sorting (i.e., alphabetization) of lists, and added features for devices other than teleprinters.",When was the first edition of the standard published?,"""factual"""
The Korean People's Army initiated the conflict by crossing the 38th parallel.,factual,"At dawn on Sunday, 25 June 1950, the Korean People's Army crossed the 38th parallel behind artillery fire. The KPA justified its assault with the claim that ROK troops had attacked first, and that they were aiming to arrest and execute the ""bandit traitor Syngman Rhee"". Fighting began on the strategic Ongjin peninsula in the west. There were initial South Korean claims that they had captured the city of Haeju, and this sequence of events has led some scholars to argue that the South Koreans actually fired first.",Who provoked a conflict by crossing the 38th parallel?,"""factual"""
Jehovah's Witnesses maintain that their goal is to protect children.,factual,"Jehovah's Witnesses have been accused of having policies and culture that help to conceal cases of sexual abuse within the organization. The religion has been criticized for its ""two witness rule"" for church discipline, based on its application of scriptures at Deuteronomy 19:15 and Matthew 18:15-17, which requires sexual abuse to be substantiated by secondary evidence if the accused person denies any wrongdoing. In cases where corroboration is lacking, the Watch Tower Society's instruction is that ""the elders will leave the matter in Jehovah's hands"". A former member of the church’s headquarters staff, Barbara Anderson, says the policy effectively requires that there be another witness to an act of molestation, ""which is an impossibility"". Anderson says the policies ""protect pedophiles rather than protect the children."" Jehovah's Witnesses maintain that they have a strong policy to protect children, adding that the best way to protect children is by educating parents; they also state that they do not sponsor activities that separate children from parents.",What do Jehovah's Witnesses maintain they want to protect?,"""factual"""
"Retirees from military service and law enforcement, specifically ex-servicemen and ex-policemen, frequently sought licenses to operate pubs.",factual,"The Wine and Beerhouse Act 1869 reintroduced the stricter controls of the previous century. The sale of beers, wines or spirits required a licence for the premises from the local magistrates. Further provisions regulated gaming, drunkenness, prostitution and undesirable conduct on licensed premises, enforceable by prosecution or more effectively by the landlord under threat of forfeiting his licence. Licences were only granted, transferred or renewed at special Licensing Sessions courts, and were limited to respectable individuals. Often these were ex-servicemen or ex-policemen; retiring to run a pub was popular amongst military officers at the end of their service. Licence conditions varied widely, according to local practice. They would specify permitted hours, which might require Sunday closing, or conversely permit all-night opening near a market. Typically they might require opening throughout the permitted hours, and the provision of food or lavatories. Once obtained, licences were jealously protected by the licensees (who were expected to be generally present, not an absentee owner or company), and even ""Occasional Licences"" to serve drinks at temporary premises such as fêtes would usually be granted only to existing licensees. Objections might be made by the police, rival landlords or anyone else on the grounds of infractions such as serving drunks, disorderly or dirty premises, or ignoring permitted hours.",Retirees from what two professions often sought licenses for pubs?,"""factual"""
The vacuoles in plant cells are larger than those found in animal cells.,factual,"Plant anatomy is the study of the structure of plant cells and tissues, whereas plant morphology is the study of their external form. All plants are multicellular eukaryotes, their DNA stored in nuclei. The characteristic features of plant cells that distinguish them from those of animals and fungi include a primary cell wall composed of the polysaccharides cellulose, hemicellulose and pectin,  larger vacuoles than in animal cells and the presence of plastids with unique photosynthetic and biosynthetic functions as in the chloroplasts. Other plastids contain storage products such as starch (amyloplasts) or lipids (elaioplasts). Uniquely, streptophyte cells and those of the green algal order Trentepohliales divide by construction of a phragmoplast as a template for building a cell plate late in cell division.",Are the vacuoles of plant cells larger or smaller than animal cells?,"""factual"""
Uric acid is combined with undigested food particles in the hindgut to form fecal pellets.,irrelevant,"Spielberg first met actress Amy Irving in 1976 at the suggestion of director Brian De Palma, who knew he was looking for an actress to play in Close Encounters. After meeting her, Spielberg told his co-producer Julia Phillips, ""I met a real heartbreaker last night."":293 Although she was too young for the role, she and Spielberg began dating and she eventually moved in to what she described as his ""bachelor funky"" house.:294 They lived together for four years, but the stresses of their professional careers took a toll on their relationship. Irving wanted to be certain that whatever success she attained as an actress would be her own: ""I don't want to be known as Steven's girlfriend,"" she said, and chose not to be in any of his films during those years.:295",What was Amy Irving's career?,irrelevant
"Nintendo unveiled the new systems on October 18th, 1985.",factual,"At June 1985's Consumer Electronics Show (CES), Nintendo unveiled the American version of its Famicom. This is the system which would eventually be officially deployed as the Nintendo Entertainment System, or the colloquial ""NES"". Nintendo seeded these first systems to limited American test markets starting in New York City on October 18, 1985, following up with a full-fledged North American release of the console in February of the following year. Nintendo released 17 launch titles: 10-Yard Fight, Baseball, Clu Clu Land, Duck Hunt, Excitebike, Golf, Gyromite, Hogan’s Alley, Ice Climber, Kung Fu, Pinball, Soccer, Stack-Up, Tennis, Wild Gunman, Wrecking Crew, and Super Mario Bros.h[›] Some varieties of these launch games contained Famicom chips with an adapter inside the cartridge so they would play on North American consoles, which is why the title screen of Gyromite has the Famicom title ""Robot Gyro"" and the title screen of Stack-Up has the Famicom title ""Robot Block"".",What day did Nintendo unveil the new systems?,"""factual"""
Arthur was initially imprisoned at Falaise before being moved to Rouen.,factual,"Further desertions of John's local allies at the beginning of 1203 steadily reduced John's freedom to manoeuvre in the region. He attempted to convince Pope Innocent III to intervene in the conflict, but Innocent's efforts were unsuccessful. As the situation became worse for John, he appears to have decided to have Arthur killed, with the aim of removing his potential rival and of undermining the rebel movement in Brittany. Arthur had initially been imprisoned at Falaise and was then moved to Rouen. After this, Arthur's fate remains uncertain, but modern historians believe he was murdered by John. The annals of Margam Abbey suggest that ""John had captured Arthur and kept him alive in prison for some time in the castle of Rouen ... when John was drunk he slew Arthur with his own hand and tying a heavy stone to the body cast it into the Seine.""[nb 7] Rumours of the manner of Arthur's death further reduced support for John across the region. Arthur's sister, Eleanor, who had also been captured at Mirebeau, was kept imprisoned by John for many years, albeit in relatively good conditions.",Where was Arthur imprisoned?,"""factual"""
The war was one of the first to be extensively documented through both written reports and photographs.,irrelevant,"Beyoncé's second solo album B'Day was released on September 5, 2006, in the US, to coincide with her twenty-fifth birthday. It sold 541,000 copies in its first week and debuted atop the Billboard 200, becoming Beyoncé's second consecutive number-one album in the United States. The album's lead single ""Déjà Vu"", featuring Jay Z, reached the top five on the Billboard Hot 100 chart. The second international single ""Irreplaceable"" was a commercial success worldwide, reaching number one in Australia, Hungary, Ireland, New Zealand and the United States. B'Day also produced three other singles; ""Ring the Alarm"", ""Get Me Bodied"", and ""Green Light"" (released in the United Kingdom only).",How many copies did B'Day sell during the first week of its release?,irrelevant
"Outgassing products can ruin a space mission by obscuring optical instruments, such as telescopes or solar cells, which are critical for the mission's success.",factual,"Evaporation and sublimation into a vacuum is called outgassing. All materials, solid or liquid, have a small vapour pressure, and their outgassing becomes important when the vacuum pressure falls below this vapour pressure. In man-made systems, outgassing has the same effect as a leak and can limit the achievable vacuum. Outgassing products may condense on nearby colder surfaces, which can be troublesome if they obscure optical instruments or react with other materials. This is of great concern to space missions, where an obscured telescope or solar cell can ruin an expensive mission.",Why can outgassing products ruin a space mission?,"""factual"""
The official residence for Tito was located in Belgrade.,factual,"As the President, Tito had access to extensive (state-owned) property associated with the office, and maintained a lavish lifestyle. In Belgrade he resided in the official residence, the Beli dvor, and maintained a separate private home. The Brijuni islands were the site of the State Summer Residence from 1949 on. The pavilion was designed by Jože Plečnik, and included a zoo. Close to 100 foreign heads of state were to visit Tito at the island residence, along with film stars such as Elizabeth Taylor, Richard Burton, Sophia Loren, Carlo Ponti, and Gina Lollobrigida.",In what city was the official residence for Tito?,"""factual"""
A current will reflect when there are changes in the electrical properties of the material.,factual,"Recall that a current will reflect when there are changes in the electrical properties of the material. In order to efficiently send the signal into the transmission line, it is important that the transmission line has the same impedance as the elements, otherwise some of the signal will be reflected back into the antenna. This leads to the concept of impedance matching, the design of the overall system of antenna and transmission line so the impedance is as close as possible, thereby reducing these losses. Impedance matching between antennas and transmission lines is commonly handled through the use of a balun, although other solutions are also used in certain roles. An important measure of this basic concept is the standing wave ratio, which measures the magnitude of the reflected signal.",What sort of changes in material would a current reflect?,"""factual"""
"The Poaceae family, also known as the grass family, is the most important for human sustenance.",factual,"Agriculture is almost entirely dependent on angiosperms, which provide virtually all plant-based food, and also provide a significant amount of livestock feed. Of all the families of plants, the Poaceae, or grass family (grains), is by far the most important, providing the bulk of all feedstocks (rice, corn — maize, wheat, barley, rye, oats, pearl millet, sugar cane, sorghum). The Fabaceae, or legume family, comes in second place. Also of high importance are the Solanaceae, or nightshade family (potatoes, tomatoes, and peppers, among others), the Cucurbitaceae, or gourd family (also including pumpkins and melons), the Brassicaceae, or mustard plant family (including rapeseed and the innumerable varieties of the cabbage species Brassica oleracea), and the Apiaceae, or parsley family. Many of our fruits come from the Rutaceae, or rue family (including oranges, lemons, grapefruits, etc.), and the Rosaceae, or rose family (including apples, pears, cherries, apricots, plums, etc.).",What family of plants is most important for human sustenance?,"""factual"""
The Canadian Military was known for their involvement in the strategic bombing of German cities during World War II.,factual,"Battles which are particularly notable to the Canadian military include the Battle of Vimy Ridge, the Dieppe Raid, the Battle of Ortona, the Battle of Passchendaele, the Normandy Landings, the Battle for Caen, the Battle of the Scheldt, the Battle of Britain, the Battle of the Atlantic, the strategic bombing of German cities, and more recently the Battle of Medak Pocket, in Croatia.",What effort was the Canadian Military known for in Germany?,"""factual"""
