ID,answer,type,context,question,model_context
165,The stated mission of BYU is to help individuals in their pursuit of perfection and eternal life.,,,What is the stated mission of BYU?,"The stated mission of Brigham Young University (BYU) is ""to assist individuals in their quest for perfection and eternal life""."
176,"As of January 2008, the new monthly minimum wage in Sichuan province was 450 yuan.",,,What was the new monthly minimum wage in Sichuan by January 2008?,"By January 2008, the monthly minimum wage in Sichuan was structured across multiple tiers based on the region's economic development:"
187,"On April 20, 1961, President Kennedy sent a letter to Vice President Lyndon B. Johnson regarding the state of the United States' space program.",,,"President Kennedy sent a letter on April 20, 1961 to who about the US's space program?","On April 20, 1961, President John F. Kennedy sent a memorandum to Vice President Lyndon B. Johnson regarding the United States' space program."
190,The winners receive the FA Cup trophy.,,,What do winners receive? ,"Winners typically receive a combination of physical accolades, financial rewards, and career opportunities, depending on the type of competition."
192,Graduate students at Washington University have the option to pursue an MBA on either a full-time or part-time basis.,,,Where is a quadratic behavior not observed?,"Quadratic behavior, which is characterized by a graph in the shape of a parabola (a U-shaped curve), is not observed in phenomena that follow a constant rate of change or those with higher-degree exponents."
200,Rural areas benefit especially from videoconferencing.,,,What areas benefit especially from videoconferencing? ,"In 2026, videoconferencing continues to be a cornerstone of modern infrastructure, providing critical benefits across several specialized areas:"
213,Japan viewed the Western embargos as aggressive actions.,,,How did Japan view Western embargos?,"Japan viewed Western embargoes as a direct threat to its national survival, a provocative ""encirclement,"" and a de facto act of war. The Japanese leadership and public felt trapped by what they termed the ABCD Encirclement (America-British-Chinese-Dutch), leading them to believe that a preemptive military strike was the only alternative to total economic collapse and national humiliation."
215,Frédéric moved to Paris at the age of 21.,,,At what age did Frédéric move to Paris?,"The composer Frédéric Chopin settled in Paris at the age of 21. He had left Poland at age 20 and moved to France, arriving in Paris around September 1831."
217,The kingdom of Macedonia was located in the northern part of the Greek peninsula.,,,What peninsula was the kingdom of Macedonia able to be found in?,The ancient kingdom of Macedonia was located on the Balkan Peninsula.
240,Higher oil prices will have the greatest impact on the global economic crisis.,,,What will have the greatest impact on the global economic crisis?,"The greatest impact on the global economic crisis stems from a combination of interconnected factors, with geopolitical tensions and trade fragmentation being cited by experts as the most pressing risks. Other major contributors include high global debt levels, financial volatility, and climate change."
241,The first college basketball championship was held in New York City in the year 1938.,,,The first college basketball championship took place in NYC in what year?,"The first major college basketball championship tournament, the National Invitation Tournament (NIT), took place in NYC in 1938. The first NCAA tournament was held the following year in 1939, but the final game was in Evanston, Illinois."
242,The main crop of the province is rice.,,,What is the main crop of the province?,"In Louisiana, the most valuable and widely grown crops are soybeans, sugarcane, and corn."
243,The leader of the Roman Catholic Church grants formal authority and promulgation to the universal positive law.,,,What is given to the universal positive law of the Roman Catholic Church by its leader?,"In the Roman Catholic Church, universal positive law is given formal authority and promulgated by its leader, the Supreme Pontiff (the Pope). As of 2026, the current leader of the worldwide Catholic Church is Pope Leo XIV, who was elected in May 2025."
247,Pulcinella is similar to the Classical era in terms of its style and composition.,,,What era is Pulcinella similar to?,"Pulcinella is primarily associated with the 17th-century Baroque era, during which the character emerged and gained popularity within the Italian commedia dell'arte tradition."
257,The number of clubs and the specific clubs chosen to attend the European Club Association are determined based on their UEFA coefficients.,,,Where did the North American hunter-gathers mostly live?,"North American hunter-gatherers lived across nearly the entire continent, from the Arctic to Mesoamerica, with their specific locations shifting over millennia based on climate and resource availability."
259,"Among the vast array of microorganisms, only a small number are capable of causing disease in otherwise healthy individuals.",,,"Of the huge amount of microorganisms, how many cause disease in otherwise healthy individuals?",Of the vast number of microorganisms on Earth—estimated at roughly one trillion species—only a tiny fraction are capable of causing disease in humans.
275,"The extension was valued at $1 billion, which is equivalent to £640 million.",,,What was the value of this extension?,"In January 2026, the reported value of the contract extension for Seattle Seahawks offensive lineman Charles Cross is $104.4 million."
283,"The 2015 research suggested that ""gaydar"" is essentially another term for using stereotypes associated with the LGBT community to make inferences about a person's sexual orientation.",,,What did research in 2015 suggest was an alternate label for gaydar?,"Research published in 2015 proposed that stereotyping is the actual process behind ""gaydar""."
295,Fylde has the smallest school population in Lancashire.,,,Who has the smallest school population?,"Determining the ""smallest"" school population depends on the category (e.g., K-12 schools, higher education, or regional districts). As of early 2026, the following institutions are noted for having exceptionally small student bodies:"
296,Kevin Saunderson was the founder of KMS Records.,,,who founded KMS Records?,KMS Records was founded by American electronic dance music DJ and producer Kevin Saunderson.
318,"In January 2007, the National Archives partnered with Fold3.com, formerly known as Footnote, to digitize historic documents.",,,"In January of 2007, what internet company did the National Archives partner with?","In January 2007, the National Archives and Records Administration (NARA) partnered with the internet company Footnote.com (now known as Fold3.com)."
328,Aruba's biggest celebration lasts for a month.,,,How long does Aruba's biggest celebration last?,"Aruba's biggest celebration, the Aruba Carnival season, officially lasts for two months with major events and parades from early January until the day before Ash Wednesday. The final parades and the symbolic burning of King Momo mark the end of the celebration just before Lent."
377,The Arab invasion of Iran occurred in the 7th century.,,,When did the Arabs invade Iran?,"The Arab invasion of Iran, specifically the Muslim conquest of the Sasanian Empire, took place primarily between 633 and 651 CE."
389,"Gherman Titov, a Soviet cosmonaut, manually controlled his Vostok 2 spacecraft on August 6, 1961.",,,Gherman Titov from the USSR drove his own spacecraft on what date?,"Gherman Titov manually controlled his Vostok 2 spacecraft for the first time on August 6, 1961. Unlike Yuri Gagarin, whose previous flight was entirely automated, Titov was tasked with testing the manual orientation system of his craft."
401,"When someone wishes to dissociate from the characteristics of significant others, it is referred to as malign or defensive contra-identification.",,,What is it called when someone wants to dissociate from the characteristics of significant others?,"In psychology, wanting to distance oneself from the traits or behaviors of a significant other is most commonly referred to as cognitive dissociation or disidentification."
409,The groove on a vinyl record typically begins near the edge of the disc.,,,Where does the groove on a vinyl record typically start?,"On a typical vinyl record, the groove starts at the outer edge and spirals inward toward the center of the disc."
424,The literacy rate in Liberia in 2010 was 60.8%.,,,What was the literacy rate in Liberia in 2010?,The literacy rate in Liberia in 2010 was an estimated 60.8%.
451,"The earliest decade typically represented by the ""oldies"" on soft AC stations is the 1960s.",,,"Generally speaking, what is the earliest decade represented by the ""oldies"" on soft AC stations?","On soft Adult Contemporary (AC) stations in 2026, ""oldies"" or gold tracks generally go back no further than the 1970s. While the core of these stations' libraries remains centered on the 1980s and 1990s, some niche or ""soft oldies"" variations still include a small amount of 1960s material."
456,The pope now bestows a scarlet biretta upon a new cardinal during the investiture ceremony.,,,What does the pope now wear when naming a new Cardinal?,"In 2026, the Pope's attire for a consistory—the ceremony for creating new cardinals—typically consists of liturgical vestments rather than his daily house cassock."
460,The highest-ranking official in the People's Government of Zhejiang is the Governor of Zhejiang.,,,Who is the highest-ranking official in the People's Government of Zhejiang?,"As of 2026, the highest-ranking official specifically within the People's Government of Zhejiang is the Governor, Liu Jie. While the Governor heads the provincial administrative agency, he remains subordinate to the Zhejiang Provincial Committee Secretary of the Chinese Communist Party (CCP) in the overall provincial hierarchy."
481,"All the previous Departments of State, excluding the Ministry of Aviation Supply, combined in the year 1964.",,,All former Departments of State (except the Ministry of Aviation Supply) merged in what year?,"In the United Kingdom, the former Departments of State associated with defense were merged into a single Ministry of Defence in 1964."
496,The decisions of the Sri Lankan Supreme Court take precedence over all lower courts in the country.,,,In what belief is God the creator and sustainer of the universe?,"The belief that God is both the creator and sustainer of the universe is a foundational tenet of monotheism. This concept, known as theism, posits a supreme being who not only brought all things into existence but also continuously maintains and governs them."
497,The Volta Prize was first established by Napoleon Bonaparte.,,,What are the two most common reasons one Grand Lodge will withhold recognition from another?,The two most common reasons one Grand Lodge will withhold recognition from another are exclusive territorial jurisdiction and regularity.
501,The European colonists destroyed pre-Columbian written records on their pyres.,,,What did European colonists destroy on their pyres?,"During various periods of colonization, European colonists used pyres or intentional fires to destroy physical symbols of Indigenous culture, evidence of massacres, and spiritual artifacts:"
504,The construction of the new bank headquarters commenced in October 2008.,,,What 5 criteria did neorealist use to determine great powers?,"In neorealist theory, primarily as defined by Kenneth Waltz in his 1979 work Theory of International Politics, the status of a great power is determined by a state's ""capabilities"". While Waltz later expanded these into a set of six categories in some contexts—adding ""political stability and competence""—the foundational list often cited in neorealism consists of five core criteria:"
516,The armistice came into effect in July 1953.,,,In what month in 1953 did the armistice come into being?,The Korean Armistice Agreement came into being in July 1953.
523,"The Greeks made significant contributions to the visual, literary, and performing arts, influencing both Western and Eastern cultures. Their impact extended to shaping the Roman artistic heritage and later the modern Western artistic tradition, as well as initiating centuries of cultural exchange that led to the development of Greco-Buddhist art, which reached as far as Japan.",,,What input did the Greeks have on artistry of the world ?,"Ancient Greek artistry has had a profound and lasting influence on world artistry, particularly in the Western world, by establishing core principles of realism, idealism, balance, proportion, and architectural orders that continue to inspire artists and designers today."
525,"In the 1965 election, Nasser faced several strong political opponents who challenged his candidacy.",,,What was Nasser's political opposition like in the 1965 election?,"In the 1965 presidential election of the United Arab Republic (now Egypt), Gamal Abdel Nasser faced no formal political opposition. The election was conducted as a national referendum on his candidacy rather than a multi-candidate contest."
528,Neptune's atmosphere is primarily composed of hydrogen and helium.,,,What is Neptune's atmosphere primarily composed of? ,"Neptune's atmosphere is primarily composed of light gases, with hydrogen being the most abundant element."
539,"Neptune's magnetic field is offset from its physical center by a distance of 0.55 radii, which is equivalent to approximately 13,500 kilometers.",,,Where is Neptune's magnetic field offset from the physical centre? ,"Neptune's magnetic field is significantly offset from its physical center by approximately 13,500 kilometers (8,500 miles)."
553,"After facing public backlash, the headline was changed to ""Sad Bruno In Mental Home"" for the second edition of the newspaper.",,,What was the headline changed to after public backlash?,"Depending on which recent news story you are following, several major publications have recently changed headlines following public backlash:"
565,VIP services typically provide amenities such as express check-in and dedicated check-in counters for passengers.,,,What are some services that are offered by VIP services?,"""VIP services"" refer to premium, personalized, and exclusive offerings designed to provide enhanced comfort, convenience, and privacy across various industries such as travel, hospitality, and entertainment."
578,Joseph Cinqué was the informal leader of the slaves during the significant anti-slavery event in New Haven in 1839.,,,Who was the leader of slaves during the New Haven anti slavery movement in 1839,"The leader of the captive Africans during the 1839 New Haven anti-slavery movement was Sengbe Pieh, widely known by the name given to him by his captors, Joseph Cinqué."
587,Nintendo conducted a second test marketing of the NES starting in February 1986.,,,When was the second time Nintendo test marketed the NES?,"Nintendo test marketed the NES for the second time in February 1986 in Los Angeles. The initial test launch had occurred in New York City on October 18, 1985."
588,"In 2008, Endo was honored with the Lasker-DeBakey Clinical Medical Research Award.",,,Endo received what award in 2008?,"In 2008, the Japanese biochemist Akira Endo received the Lasker-DeBakey Clinical Medical Research Award."
589,These early schools during the Middle Ages eventually evolved into medieval universities.,,,What did these early schools during the Middle Ages evolve into?,"The early schools of the Middle Ages, primarily monastic and cathedral schools, evolved into the first modern universities. This institutional framework is the basis for the higher education system that exists globally today."
600,The Côte d'Ivoire national football team helped secure a truce during the civil war in 2006.,,,"In 2006, which team helps secure a truce during a civil war?","In 2006, the Ivory Coast national football team (nicknamed Les Éléphants) was credited with securing a vital truce in the First Ivorian Civil War."
619,The Times is featured as the organ of a totalitarian ruling party in the novel Nineteen Eighty-Four by George Orwell.,,,In what novel was The Times featured as an organ of a totalitarian ruling party?,"In George Orwell's 1949 dystopian novel Nineteen Eighty-Four (often written as 1984), The Times is featured as an organ of the totalitarian ruling party, Ingsoc."
624,"Jon Savage, a music writer, described post-punk as featuring ""harsh urban scrapings, controlled white noise"" and ""massively accented drumming.""",,,"Who connsidered post-punk ""harsh urban scrapings [,] controlled white noise"" and ""massively accented drumming""?",Music journalist and author Jon Savage used these terms to describe the emerging post-punk sound.
638,The film also encountered administrative problems with local authorities in India.,,,"In what other country, besides Mexico, did the film experience administrative issues with local authorities?","In addition to Mexico, the film El Norte (1983) famously encountered administrative and legal obstacles in Guatemala."
660,John was Henry's favorite child.,,,Who was Henry's favorite child?,"While historians generally agree that King Henry VIII did not love his children unconditionally, Edward VI is most often cited as his favorite because he was the long-awaited legitimate male heir. However, Henry's affection varied significantly depending on the child's utility and the status of his relationship with their mother."
672,"In continuous geometry, the dimension of a subspace is not limited to discrete values like 0, 1, ..., n; instead, it can take on any value within the unit interval [0,1].",,,What is the distinction of continuous geometry?,"In mathematical terms, continuous geometry is a specific algebraic structure introduced by John von Neumann in 1936 as a generalization of complex projective geometry. Its primary distinction is the nature of its dimension function."
677,Alaska is bordered by the Pacific Ocean to the south.,,,Which ocean does Alaska border to the south?,Alaska borders the Pacific Ocean to its south.
683,The city of Varna is situated on the western coast of the Black Sea.,,,The city of Varna is located on what coast of the Black Sea?,Varna is located on the western coast of the Black Sea.
684,"In the late Middle Ages, the Ashkenazi population shifted from the German lands.",,,"In the late Middle Ages, as the Ashkenazi population shifted it moved from what location?","In the late Middle Ages, the Ashkenazi population shifted primarily from Western and Central Europe—specifically the Holy Roman Empire, the Rhineland of Germany, and northern France."
697,The stationary hardware came with a lesser cost for mobile conversion hardware.,,,What came with lesser lesser cost mobile conversion hardware or stationary hardware?,"In most general cases, stationary hardware has a lower initial cost compared to mobile hardware, though the total cost of ownership can vary depending on operational expenses and specific use cases."
699,Montini aimed to reform the area of pastoral care within the Catholic ministry.,,,What part of Catholic ministry did Montini seek to reform?,"Giovanni Battista Montini, as Pope Paul VI, sought to reform several central aspects of Catholic ministry, primarily focused on modernizing the Church's engagement with the world through the completion and implementation of the Second Vatican Council."
709,The United Nations Office of Electoral Affairs provided assistance with the free elections in the Central African Republic.,,,Who helped with the Free Elections?,"The term ""Free Elections"" typically refers to the democratic ideal of ""free and fair"" voting processes, which have been championed and assisted by various international leaders, organizations, and historic figures throughout history."
722,Thin Lizzy was an Irish band.,,,What nationality was Thin Lizzy?,"Thin Lizzy was an Irish rock band formed in Dublin in 1969. While the band is fundamentally Irish, its lineup was multiracial and featured members from across the Irish border, as well as international musicians."
727,The two groups with a high percentage of interracial marriage are Liberians and Lebanese.,,,Dog fat in some parts of Poland is thought to have what?,"In some parts of Poland, dog fat (often referred to as dog lard or smalec z psa) is traditionally thought to have significant medicinal and curative properties."
730,"Typical glass contains both alkali and alkaline earth ions, with sodium and calcium being the most common examples.",,,What types of ions does typical glass have?,"Typical glass consists of a network-forming anionic structure balanced by various metal cations. The specific ions present depend on the glass type, with most commercial varieties (like windows and bottles) being soda-lime glass."
746,"In February 2016, Kanye West was defending Bill Cosby on Twitter.",,,What actor was Kanye defending on Twitter in February 2016?,"In February 2016, Kanye West (now known as Ye) sparked significant controversy by defending actor and comedian Bill Cosby."
748,"The terms ""Hispanic"" and ""Latino"" are not race-specific, as they include people who identify as various distinct races, such as Black, White, Amerindian, Asian, and mixed groups.",,,How are the terms Hispanic and Latino not specific?,"The terms Hispanic and Latino are considered non-specific because they function as broad ""umbrella"" or pan-ethnic labels that mask significant internal diversity in geography, language, and race."
758,"In 1947, there were officially 565 princely states in India.",,,How many princely states were there in India in 1947?,"In 1947, there were 565 officially recognized princely states in the Indian subcontinent at the time of the British withdrawal."
760,Ye Olde Salutation Inn is located in Nottingham.,,,Where is Ye Olde Salutation Inn located?,"Ye Olde Salutation Inn is located at Hounds Gate, Nottingham, NG1 7AA, England. It is a historic Grade II listed pub in the heart of the city center."
769,The river that separates Abkhazia from Georgia is the Ingur River.,,,What river divides Abkhazia from Georgia?,The Enguri River (also spelled Inguri) serves as the de facto boundary dividing the breakaway region of Abkhazia from the territory controlled by the Georgian government.
791,The Duke of York was described as being deeply devoted to Catholicism.,,,What was the Duke of York's relationship to his religion described as being?,"James II, while known as the Duke of York before his accession, was described as having a relationship of deep devotion and unwavering commitment to Roman Catholicism."
806,"In 1991, the air pollution in Mexico City posed a serious health risk for 355 days out of the year.",,,How many days of the year in 1991 was the air pollution a serious health risk?,"In 1991, the number of days with air pollution posing a serious health risk varied significantly by location, as air quality is measured regionally."
822,"Steele claimed his comment was intended to be ""provocative.""",,,"To whom is the quote ""it was like playing men from outer space"" attributed?","The quote ""it was like playing men from outer space"" is attributed to Syd Owen, a former England international football player."
825,Jehovah's Witnesses believe that independent thinking was introduced by Satan the Devil.,,,What do donors offer to the University of Kansas?,"Donors offer a wide range of financial and physical assets to the University of Kansas (KU) to support students, faculty, research, and campus development. Managed by KU Endowment, these contributions are essential because state financing covers only about 18–24% of KU's total operating expenses."
831,The congressmen in 1898 were from North Carolina's 2nd district.,,,What district were the congressmen in 1898 from?,"In 1898, members of the U.S. House of Representatives represented 357 congressional districts across the then 45 states. The 1898 elections determined the membership of the 56th United States Congress, which served from March 1899 to March 1901."
850,The cocoa industry was accused of profiting from child labor.,,,What industry was accused of profiting from child labour?,"Several major industries have faced prominent accusations of profiting from or utilizing child labor, often through complex global supply chains."
874,The written law and the oral law were both transmitted at Mount Sinai.,,,Where was the written law and the oral law transmitted?,"According to Jewish tradition, both the written and oral laws were transmitted by God to Moses on Mount Sinai."
885,"The tuition at Memorial University of Newfoundland is $2,644 per academic year.",,,Who was a correspondent on season two of American Idol?,"In the second season of American Idol (2003), Kristin Holt served as a special correspondent."
903,"The song ""Killer Queen"" incorporates elements of British music hall, in addition to camp and vaudeville.",,,What music style was found along with camp and vaudeville on the song Killer Queen?,"Along with camp and vaudeville, the song ""Killer Queen"" prominently features the music hall style."
917,The decree issued by Valens ordered the banishment of the bishops who had been deposed by Constantius.,,,What did the decree of Valens do?,"Emperor Valens did not issue a single, universally known ""Decree of Valens"". Instead, his reign involved numerous imperial laws and edicts on various matters, most notably his policies concerning religious conformity and the resettlement of the Goths, which had major consequences for the Roman Empire."
918,A dog communicates its emotional state through its tail.,,,What does a dog communicate with its tail?,"A dog's tail is a complex communication tool that conveys emotional arousal, ranging from joy to extreme stress or aggression. A wagging tail does not always mean a dog is happy; rather, it indicates the dog is mentally stimulated or ready to interact."
931,The Freddie Mercury Tribute Concert took place at Wembley Stadium in London.,,,Where was the Freddie Mercury Tribute Concert held?,"The Freddie Mercury Tribute Concert for AIDS Awareness was held at Wembley Stadium in London, England."
937,"In 2012, the Pan American Health Organization, which is the North and South American branch of the World Health Organization, issued a statement regarding services claiming to ""cure"" individuals with non-heterosexual sexual orientations.",,,When did part of the world health organization release a statement about curing homosexuals?,"On May 17, 2012, the Pan American Health Organization (PAHO), a regional office of the World Health Organization (WHO), released a definitive position statement rejecting purported ""cures"" for homosexuality."
951,Pathogens are bacteria that form a parasitic relationship with other organisms.,,,What are the pathogenes?,"Pathogens are infectious agents or biological entities that cause disease or illness in a host, which can be a human, animal, or plant. Often referred to as ""germs,"" they must invade a host, evade the immune system, and replicate to survive."
960,"A retrial is also referred to as ""trial de novo.""",,,A retrial is also called what?,"In legal contexts, a retrial is most commonly and formally called a new trial."
978,"Wood may be used as a supporting material in buildings made from brick or other materials, particularly in roof construction, interior doors and their frames, and as exterior cladding.",,,What might wood be used for in a building made from brick or other materials?,"In buildings primarily constructed of brick, concrete, or steel (often classified as Type I or II non-combustible construction), wood is frequently used for structural support, essential interior components, and aesthetic finishing."
995,"Krugman believed that the growth of the commercial real estate bubble was actually caused by U.S. housing policy, and not an indicator that it was not the cause of the crisis.",,,Who believed that the growth of the commercial real estate bubble indicated that U.S. housing policy was not the cause of the crisis?,"The argument that the growth of the commercial real estate (CRE) bubble, which occurred in parallel with the residential bubble but with minimal government involvement, indicated that U.S. housing policy was not the primary cause of the crisis was made by several experts, notably the dissenting Republicans on the Financial Crisis Inquiry Commission (FCIC) and economist Paul Krugman."
1005,The Chola Empire established political unity throughout the entirety of Southern India.,,,In what area did the Chola Empire establish political unity?,"The Chola Empire established political unity in peninsular India south of the Tungabhadra River, encompassing the entire Tamil-speaking region. Their heartland was the fertile Kaveri River valley in present-day Tamil Nadu state."
1008,Beyoncé's management company is called Parkwood Entertainment.,,,What is the name of Beyoncé's management company?,Beyoncé’s management company is Parkwood Entertainment.
1009,The methods of ethnohistory extend beyond the conventional use of documents and manuscripts.,,,What do the methods of ethnohistory go beyond the standard use of?,Ethnohistory methods extend beyond the standard use of documents and manuscripts typically associated with traditional historical research.
1013,"For older adolescents, sexual activity within the context of a romantic relationship is associated with lower levels of deviant behavior.",,,"For older adolescents, is sexual activity in a romantic relationship associated with lower or higher levels of deviant behavior?",
1032,"Green S, also known as E142, is the green food coloring that is known to cause hyperactivity, asthma, urticaria, and insomnia.",,,During what era did newsstand distribution begin to tail off markedly for Marvel?,"Marvel’s newsstand distribution began to tail off markedly during the late 1980s, following a steady decline that started with the rise of the ""Direct Market"" in the late 1970s."
1052,Madonna granted the rights to her entire catalog of music to the American TV show Glee.,,,Madonna granted which TV show the rights to her entire catalog of music?,Madonna granted the television show Glee the rights to her entire music catalog in 2009.
1090,Leto's origin is Lydian.,,,What origin was Leto?,"In Greek mythology, Leto (Greek: Lētṓ; Roman equivalent: Latona) is a Titaness of the second generation."
1102,"Josip Broz Tito, the leader of Yugoslavia, openly supported the Communist side in the Greek Civil War.",,,Who openly supported the Communist side in the Greek Civil War?,"The communist side in the Greek Civil War was openly supported by the neighboring communist states of Yugoslavia, Albania, and Bulgaria."
1113,"In 1960, African Americans constituted 16.45% of Tennessee's population.",,,"In 1960, what group made up 16.45% of Tennessee's population?","In 1960, African Americans (referred to in census documents of that time as ""Negroes"") made up 16.45% of Tennessee's total population."
1120,The precipitation and temperature in the mountainous areas of Chihuahua depend on the elevation.,,,Precipitation and temperature in the mountainous region depend on what?,"In mountainous regions, precipitation and temperature are primarily dependent on elevation (altitude) and topography (relief). These two factors interact with prevailing winds and local geography to create distinct climate patterns:"
1123,Darwin and Wallace emphasized the importance of variation among individuals within the same species as the key to understanding the natural world.,,,Which governor led the supportive reception of President Juarez?,Governor Santiago Vidaurri initially led a supportive reception for President Benito Juárez in Monterrey during the French Intervention in 1864.
1138,The top teams considered leaving the Football League in order to take advantage of the increasing amount of money flowing into the sport.,,,Why did some of the top teams consider leaving the Football league?,Top teams have considered leaving existing football leagues primarily due to financial incentives and a desire for greater control over revenue and competition structure.
1152,The infrastructure leading into Switzerland was wired by the Swiss commanders themselves.,,,Who wired the infrastructure leading into Switzerland?,"The initial telecommunications infrastructure leading into and within Switzerland was primarily established by the Swiss government, which later became the state-owned enterprise Swiss PTT, and its modern successor, Swisscom. International connectivity involved cooperation with various foreign entities."
1157,The Hanseatic cities were located on the Baltic Sea.,,,What sea were the Hanseatic cities located on?,The Hanseatic cities were primarily located on the coasts and connected waterways of the Baltic Sea and the North Sea.
1173,"The local municipal corporation of New Delhi, not the Central Government of India, oversees the capital of New Delhi.",,,What is the name of one government body that oversees the capital of New Delhi?,"The primary government body that oversees the capital of New Delhi, which is a municipality within the National Capital Territory of Delhi, is the New Delhi Municipal Council (NDMC)."
1176,Eritrean cooking tends to feature more seafood than Ethiopian cuisine due to its coastal location.,,,Why does Eritrean cooking tend to feature more seafood than Ethiopian cuisine?,"Eritrean cooking features more seafood primarily due to its geographic access to the Red Sea, whereas Ethiopia is landlocked."
1179,"The Turks and Caicos Islands, another British Overseas Territory in the Caribbean, also uses the U.S. dollar as its sole currency.",,,Who plays an influential role in the formation of party policy?,"In 2026, the formation of party policy continues to be a collaborative process involving official leadership, internal factions, and external stakeholders."
1183,The suspension bridge is among the many technological accomplishments that originated in China.,,,What type of bridge originated in China?,China is credited with the origin and early innovation of several distinctive bridge types:
1198,The director who accidentally revealed that a new Zelda game was in development was Eiji Aonuma.,,,What year did the emir Null II recover from his illness?,"The historical figure associated with the name is Emir Nuh II of the Samanids, who recovered from a dangerous illness in 997 AD."
1214,A Macau citizen was arrested for posting a plea to disrupt the relay on the website facebook.com.,,,A Macau citizen was arrested for posting a plea to disrupt the relay on what website?,A Macau citizen was arrested for posting a plea to disrupt the Olympic torch relay on the popular local web forum Macau Rainbow (also referred to in some reports as Macauforum.com or macaubbs.com).
1215,The frequency of Haplogroup R1a in Russia is 52%.,,,What is the frequency of Haplogroup R1a in Russia?,"Haplogroup R1a has an average frequency of approximately 46.7% among Russians, making it the most common Y-DNA haplogroup in the population. This frequency can vary significantly by region."
1221,"Jason Castro received praise for his semi-final performance of ""Hallelujah"" on American Idol.",,,The northern area of Great Britain was populated by what native people during the Roman Empire occupation?,"During the Roman occupation of Great Britain (AD 43–410), the northern territories were primarily populated by the Caledonians and the Picts."
1225,"The story that Capote wrote, which was based on murders, is In Cold Blood.",,,Murders were the base for which story that Capote wrote?,"The 1959 murders of the Clutter family in Holcomb, Kansas, served as the basis for Truman Capote's 1966 nonfiction novel, In Cold Blood."
1232,"Many databases are accessed through application software, which interacts with the database on behalf of end-users without directly exposing the DBMS interface.",,,How are many databases accessed?,"Databases are typically accessed through a Database Management System (DBMS), which acts as the software interface between the user or application and the stored data."
1241,The leaders wanted to maintain their grasp on the Dutch language because it is the language of power.,,,Leaders wanted to hang onto knowledge of the Dutch language because it's the language of what?,"Historically, leaders and the ruling class sought to maintain knowledge of the Dutch language because it was the primary language of diplomacy and trade."
1254,Bell's work was similar to existing experiments being conducted in Germany.,,,What country was doing work similar to Bell's?,"During his early experiments in the 1860s and 1870s, Germany was the primary country conducting scientific work remarkably similar to that of Alexander Graham Bell."
1271,"Peter Carey, Germaine Greer, and Thomas Browne are all notable writers and poets from Melbourne.",,,"What occupation to Peter Carey, Germaine Greer, and Thomas Browne hold?",Each of these individuals is primarily recognized as a writer or author. Their specific roles include:
1276,There is a significant level of uniformity among all Orthodox Jews.,,,there is a large degree of what amongst all orthodox jews?,"Among all Orthodox Jews, there is a large degree of diversity and variety in practice, social outlook, and lifestyle."
