answer,type,context,question,model_context
The isotopes with unstable nuclei are 4H to 7H.,factual,,Which isotopes have unstable nuclei?,"Isotopes with unstable nuclei are called radioisotopes or radioactive isotopes. These atoms spontaneously undergo radioactive decay, emitting particles or energy to reach a more stable state."
"The evidence indicates that some lay people, both male and female, reached proficiency in all eight jhānas during the time of the Buddha.",factual,,Evidence has shown some lay people got to proficiency in all eight what?,"Evidence has shown that some laypeople have reached proficiency in all eight jhānas, which are deep states of meditative absorption."
The group traveled to Marseilles to help Frédéric recover.,factual,,What city did the group travel to in order to help Frédéric recover?,"The query likely refers to Ernest Hemingway's novel A Farewell to Arms, which features a character named Frederic who needs to recover."
The new wing of the palace in 1847 was designed by architect Edward Blore.,factual,,Who designed the new wing for the palace in 1847?,The new East Wing for Buckingham Palace was designed by the architect Edward Blore in 1847.
Soda-lime glass is composed of approximately 70 to 74 percent silica by weight.,factual,,What percentage of soda-lime glass is silica?,"Soda-lime glass, the most common form of commercial glass used for windows and containers, typically consists of 70% to 75% silica (silicon dioxide, SiO₂) by weight."
Apple abandoned Motorola CPUs in 1994.,factual,,When did Apple abandon Motorola CPU's?,Apple officially stopped using Motorola-designed CPUs in its computers during two distinct historical transitions:
"Windows 8 changed to using Windows API code instead of WinRT for certain exceptions, such as web browsers.",factual,,What code did Windows 8 change to?,"Windows 8 changed several aspects of its internal ""code,"" depending on whether you are referring to its version numbering, its app development platform, or its successors."
"Chopin wrote ""My tragedy"" on the package containing the letters from Maria and her mother.",factual,,What did Chopin write on the package that contained letters from Maria and her mother?,"Chopin wrote the words ""Moja bieda"" on the envelope containing the letters from Maria Wodzińska and her family."
"Continental Portugal encompasses a land area of 89,015 square kilometers, which is equivalent to 34,369 square miles.",factual,,How much land does the Continental Portugal cover?,"Continental Portugal, which comprises the portion of the Portuguese Republic on the Iberian Peninsula, covers a total land area of approximately 89,015 square kilometers (34,369 sq mi)."
The main metropolitan train terminus in Melbourne is called Flinders Street Station.,factual,,What is the main metropolitan train terminus called in Melbourne?,The main metropolitan train terminus in Melbourne is Flinders Street Station.
The Greater London Urban Area is home to approximately 9 million inhabitants.,factual,,How many people live in the area of London?,"The number of people living in the London area depends on how the area is defined, ranging from approximately 9.1 million in Greater London to over 15 million in the wider metropolitan area."
The Louvre Pyramid was built by I.M. Pei.,factual,,Who built the Louvre Pyramid?,The Louvre Pyramid was designed by the renowned Chinese-American architect I.M. Pei.
The first Ottoman Aviation School was established in Yeşilköy.,factual,,Where was the first Ottoman Aviation school?,"The first Ottoman Aviation School was located in Yeşilköy, a suburb of Istanbul, which is the site of the modern Istanbul Atatürk Airport."
Hrothgar's ancestor was adopted by a noble family.,factual,,Who adopted Hrothgar's ancestor?,"Hrothgar's ancestor, Scyld Sheafson (Scefing), arrived in Denmark as an orphan boy in a ship with a sheaf of grain, and was later adopted by the people of that land and elected as their king. The poem states that he was a foundling who rose from nothing to become a great warrior-king, founding the Danish royal line from which Hrothgar is descended."
"During the First World War, both Ludwig Wittgenstein and Friedrich Hayek served as officers.",factual,,What did Wittgenstein and Hayek do during the first world war?,"Although they were second cousins, Ludwig Wittgenstein and Friedrich Hayek did not know each other well during World War I, famously recognizing each other by family resemblance only while on furlough at an Austrian train station in 1918. Both served as officers in the Austro-Hungarian Army."
"Some of the failed predictions made by Jehovah's Witnesses were presented as being absolutely certain or ""beyond doubt.""",factual,,What had some of the failed predictions of Jehovah's Witnesses been presented as?,"Historically, failed predictions by Jehovah's Witnesses have been reframed using various theological and rhetorical explanations to maintain institutional authority and member faith."
The National Conference of State Legislatures in 2014 was held in Washington D.C.,factual,,Where was the National Conference of State Legislatures held in 2014?,"The National Conference of State Legislatures (NCSL) 2014 Legislative Summit was held in Minneapolis, Minnesota, from August 19–22, 2014."
Operation Desert Storm began in January 1991.,factual,,What operation began in January 1991?,"Operation Desert Storm, the combat phase of the Persian Gulf War, began in January 1991."
The first 256 code points of Unicode were made identical to the content of ISO-8859-1.,factual,,What were the first 256 code points of Unicode made identical to? ,"The first 256 code points of Unicode (U+0000 to U+00FF) were made identical to the ISO/IEC 8859-1 standard, also known as Latin-1."
"Yes, many believed that the FBI was resisting significant changes.",factual,,Did many believe the FBI was resisting important changes?,"Yes, significant portions of the public and government have believed the FBI was resisting important changes at different points in its history. These beliefs often stem from two conflicting viewpoints: one that sees the Bureau as a ""deep state"" actor resisting political reform, and another that views it as a rule-of-law institution resisting political interference."
The Yugoslav President had a yacht called Galeb at his disposal.,factual,,What was the name of the yacht the Yugoslav president had at his disposal?,"The main presidential yacht at the disposal of the Yugoslav president, Josip Broz Tito, was named Galeb (Serbo-Croatian for ""seagull""). He also used another, smaller yacht called Jadranka."
"In the United States, the concept of race is considered a very sensitive issue that can potentially undermine social cohesion. This is why American scientists are discouraged from using racial categories in their research.",factual,,Why does race undermine social cohesion in America?,"In the United States, race often acts as a friction point for social cohesion due to a mix of deep-rooted structural inequalities, psychological biases, and historical policies that continue to segregate communities."
The largest denomination in Vanuatu is the Presbyterian Church.,factual,,What is the largest denomination church in Vanuatu?,"The Presbyterian Church of Vanuatu is the largest church denomination in the country, representing approximately 32% of the population, according to recent estimates."
New Jersey's largest daily newspaper is the Star-Ledger.,factual,,What is New Jersey's largest daily paper?,"New Jersey's largest daily paper is The Star-Ledger, which is based in Newark."
"Microsoft refers to this exception privilege for web browsing as ""New experience enabled.""",factual,,What term did Microsoft give to its exception privilige for web browsing?,Microsoft refers to its exception privilege for web browsing as Enhanced Protected Mode (EPM).
The Virgin birth of Jesus was held almost universally among Christians until the 19th century.,factual,,Until which century was the Virgin birth of Jesus held almost universally among Christians?,The Virgin birth of Jesus was held almost universally among Christians until the 18th century.
Espanyol views Barcelona as a team of foreigners.,factual,,Of what does team Espanyol view Barcelona as a team ?,"RCD Espanyol generally views FC Barcelona as a privileged and arrogant ""Goliath"" that holds a monopoly on Catalan identity and public media. While the rivalry is a major season-defining event for Espanyol, the club often feels overlooked by Barcelona, which prioritizes El Clásico against Real Madrid."
Rouse concluded that leeches were a subgroup of oligochaetes.,factual,,What did Rouse decide leeches were a subgroup of?,Greg Rouse decided that leeches (Hirudinea) are a subgroup of oligochaetes.
"At higher altitudes, plants typically form isolated cushions.",factual,,What do the plants tend to form at higher altitudes? ,"At higher altitudes, plants tend to form specialized growth patterns and structures to survive extreme environmental stress, including high UV radiation, low temperatures, and strong winds."
Arnold Schwarzenegger is also a citizen of Austria.,factual,,In what country besides the U.S. is Schwarzenegger a citizen?,Arnold Schwarzenegger is a citizen of Austria.
Two significant events of the Seven Years' War in North America were the death of General Wolfe and the Battle of Fort William Henry.,factual,,Name two more major events of the Seven Years' War in North America.,"Aside from the Battle of Quebec, two other major events that shaped the North American theater of the Seven Years' War (the French and Indian War) include:"
The French held control primarily in West Africa during the period of European colonization from the 1880s to 1914.,factual,,Where in Africa did the French have control? ,"France had colonial control over vast territories in North, West, and Equatorial Africa, as well as several islands in the Indian Ocean. These territories were organized into large administrative federations."
The National Communications Act was approved in 2012 to establish a National Communications regulator in Somalia.,factual,,"In 2012, what act was approved to establish a National Communications regulator?","In 2012, two notable national acts were approved in different countries to establish a central communications regulator:"
Some Biblical scholars claim that Jesus' family rejected his message during his public ministry.,factual,,What do some Biblical scholars claim that Jesus' family did with his message during his ministry?,"Biblical scholars note that the Gospels depict Jesus' family—specifically his mother and brothers—as skeptical, fearful, or even oppositional during his active ministry. According to many scholarly interpretations of the texts, his family engaged in several specific actions:"
"Ado Grenzstein, a journalist active in Estonia during the 1870s-90s, was also a language planner.",factual,,Who was the journalist who was also a language planner?,The journalist who was also a renowned language planner was Eliezer Ben-Yehuda.
"Swazi textile exports experienced significant growth, increasing by more than 200% between the years 2000 and 2005.",factual,,What happened to Swazi exports of textiles from 2000 to 2005?,"Swazi (Eswatini) exports of textiles experienced a significant boom from 2000 to 2004, followed by a sharp decline in 2005. The industry grew phenomenally during the first part of this period due to specific trade agreements, but then suffered a severe setback."
Die Another Day reached number eight on the Billboard Hot 100.,factual,,Die Another Day reached which number in the Billboards Hot 100?,"Madonna's ""Die Another Day"" peaked at number 8 on the Billboard Hot 100."
Valens issued orders permitting Athanasius to return to his episcopal see.,factual,,How did Valens get him to return?,"Depending on whether you are referring to historical events, television, or music, the way ""Valens"" secured a ""return"" varies:"
"The strategy, which was revised in 2008, is called the ""Melbourne @ Five Million"" strategy.",factual,,What is the name given to Melbourne's population strategy that was revised in 2008? ,"Melbourne's revised population and planning strategy, released in December 2008, is known as Melbourne @ 5 million."
"The texts were first able to reach a large number of people after 1517, when the invention of printing made them widely available.",factual,,When are these texts first able to reach a large amount of people?,"The ability for written texts to reach a mass audience occurred in two distinct waves: first through the mechanical ""Print Revolution"" and later through the ""Digital Revolution."""
De Gaulle held the rank of General.,factual,,What rank was held by de Gaulle?,"Charles de Gaulle attained the military rank of Brigadier General (Général de brigade) during World War II. He was promoted to this rank on a temporary basis on June 1, 1940, in recognition of his leadership during the Battle of France."
"The older interstate bus station, known as Rodoferroviária, is located at the western end of the Eixo Monumental in Brasília.",factual,,Where is the older interstate bus station?,"The location of the older interstate bus station in Gainesville, GA, was at 1780 Martin Luther King Jr Blvd, though it may no longer be actively used as a major station. The current Greyhound station is at a Shell gas station on Monroe Drive."
Tim Staffell departed from the band Smile in the year 1970.,factual,,Tim Staffell left the band Smile in what year?,Tim Staffell left the band Smile in 1970.
The Bishopric of Strasbourg was elevated to the status of an Archbishopric in the year 1988.,factual,,When was the Bishopric of Strasbourg made an Archbishopric?,"The Bishopric of Strasbourg was elevated to an Archbishopric on June 1, 1988, by Pope John Paul II."
"The Tories occasionally cooperated with a group known as the ""Opposition Whigs,"" who were Whigs that opposed the Whig government.",factual,,Who did the Tories occasionally cooperate with?,"Throughout history, the Tories (and their successor, the Conservative Party) have occasionally cooperated with various political factions and rivals to form governments or advance specific policies."
Kanye West collaborated with DJ Toomp on his album Graduation.,factual,,What artist worked with Kanye on his album Graduation?,Kanye West collaborated with several high-profile visual and recording artists for his 2007 album Graduation.
"The Environmental Integrity Group (EIG) was formed by Switzerland, Mexico, and the Republic of Korea.",factual,,"What was formed by Switzerland, Mexico, and the Republic of Korea?","Switzerland, Mexico, and the Republic of Korea (South Korea) formed the Environmental Integrity Group (EIG) in 2000."
"The basis of bitumen formation primarily consists of organic matter from marine plants and animals, predominantly algae.",factual,,What kind of living materials formed the basis of bitumen?,"Bitumen is a naturally occurring, viscous form of petroleum derived from the decomposed remains of ancient living organisms. The primary organic materials that formed the basis of bitumen include:"
A translation method that moves the writer toward the reader is an example of transparency.,factual,,Moving the writer toward the reader would be an example of what type of translation method?,"In the field of translation studies, moving the writer toward the reader is a method known as Domestication."
Diamond Comic Distributors partnered with Marvel in the year 1997.,factual,,What year did Diamond Comic Distributors team up with Marvel?,Diamond Comic Distributors first signed an exclusive distribution agreement with Marvel Comics in 1997.
