answer,type,context,question,qwen
The BYU television network was launched in the year 2000.,factual,"Bateman was responsible for the building of 36 new buildings for the university both on and off campus, including the expansion of the Harold B. Lee Library. He was also one of several key college leaders who brought about the creation of the Mountain West Conference, which BYU's athletics program joined — BYU previously participated in the Western Athletic Conference. A BYU satellite TV network also opened in 2000 under his leadership. Bateman was also president during the September 11th attacks in 2001. The planes crashed on a Tuesday, hours before the weekly devotional normally held at BYU. Previous plans for the devotional were altered, as Bateman led the student body in a prayer for peace. Bateman was followed by Cecil O. Samuelson in 2003. Samuelson was succeeded by Kevin J Worthen in 2014.",In what year did the school begin a BYU television network?,"""factual"""
1985,contradiction,"Regional social norms are generally antagonistic to hunting, while a few sects, such as the Bishnoi, lay special emphasis on the conservation of particular species, such as the antelope. India's Wildlife Protection Act of 1972 bans the killing of all wild animals. However, the Chief Wildlife Warden may, if satisfied that any wild animal from a specified list has become dangerous to human life, or is so disabled or diseased as to be beyond recovery, permit any person to hunt such an animal. In this case, the body of any wild animal killed or wounded becomes government property.",What year was this protection act put into place?,contradiction
"The biography of Whitehead, written by Victor Lowe, consists of two volumes.",factual,"The two volume biography of Whitehead by Victor Lowe is the most definitive presentation of the life of Whitehead. However, many details of Whitehead's life remain obscure because he left no Nachlass; his family carried out his instructions that all of his papers be destroyed after his death. Additionally, Whitehead was known for his ""almost fanatical belief in the right to privacy"", and for writing very few personal letters of the kind that would help to gain insight on his life. This led to Lowe himself remarking on the first page of Whitehead's biography, ""No professional biographer in his right mind would touch him.""",How many volumes is the biography of Whitehead?,"""factual"""
The Mall of San Juan is scheduled to open in March 2015.,factual,"In Puerto Rico, various department stores have operated, such as Sears, JC Penney, Macy's, Kmart, Wal-Mart, Marshalls, Burlington Coat Factory, T.J. Maxx, Costco, Sam's Club and others. La New York was a Puerto Rican department store. Topeka, Capri and Pitusa are competitors on the Puerto Rican market that also have hypermarkets operating under their names. Retailers Nordstrom and Saks Fifth Avenue also have plans to come to the Mall of San Juan, a new high-end retail project with over 100 tenants. The mall is set to open in March 2015.",When is the Mall of San Juan expected to open? ,"""factual"""
The original name of Riba was the Institute of British Architects in London.,factual,"Originally named the Institute of British Architects in London, it was formed in 1834 by several prominent architects, including Philip Hardwick, Thomas Allom, William Donthorne, Thomas Leverton Donaldson, William Adams Nicholson, John Buonarotti Papworth, and Thomas de Grey, 2nd Earl de Grey.",What was Riba's first name?,irrelevant
Hundreds of different dog breeds exist due to selective breeding by humans.,factual,"Most breeds of dog are at most a few hundred years old, having been artificially selected for particular morphologies and behaviors by people for specific functional roles. Through this selective breeding, the dog has developed into hundreds of varied breeds, and shows more behavioral and morphological variation than any other land mammal. For example, height measured to the withers ranges from 15.2 centimetres (6.0 in) in the Chihuahua to about 76 cm (30 in) in the Irish Wolfhound; color varies from white through grays (usually called ""blue"") to black, and browns from light (tan) to dark (""red"" or ""chocolate"") in a wide variation of patterns; coats can be short or long, coarse-haired to wool-like, straight, curly, or smooth. It is common for most breeds to shed this coat.",Hundreds of different dog breeds exist because of what?,"""factual"""
"You can find this information in the Zuo Zhuan, a Confucian classic.",factual,"In the 6th century BCE, Taoist teacher Lao Tzu espoused a series of naturalistic concepts with some elements of humanistic philosophy. The Silver Rule of Confucianism from Analects XV.24, is an example of ethical philosophy based on human values rather than the supernatural. Humanistic thought is also contained in other Confucian classics, e.g., as recorded in Zuo Zhuan, Ji Liang says, ""People is the zhu (master, lord, dominance, owner or origin) of gods. So, to sage kings, people first, gods second""; Neishi Guo says, ""Gods, clever, righteous and wholehearted, comply with human."" Taoist and Confucian secularism contain elements of moral thought devoid of religious authority or deism however they only partly resembled our modern concept of secularism.",Where could you read this information?,"""factual"""
The memory of Napoleon in Poland can be characterized as positive and favorable.,factual,"After the fall of Napoleon, not only was Napoleonic Code retained by conquered countries including the Netherlands, Belgium, parts of Italy and Germany, but has been used as the basis of certain parts of law outside Europe including the Dominican Republic, the US state of Louisiana and the Canadian province of Quebec. The memory of Napoleon in Poland is favorable, for his support for independence and opposition to Russia, his legal code, the abolition of serfdom, and the introduction of modern middle class bureaucracies.",How can the memory of Napoleon in Poland be characterized as?,"""factual"""
"The last satellite for the BeiDou-1 system, BeiDou-1C, was launched on May 25, 2003.",irrelevant,"Child labour is still common in many parts of the world. Estimates for child labour vary. It ranges between 250 and 304 million, if children aged 5–17 involved in any economic activity are counted. If light occasional work is excluded, ILO estimates there were 153 million child labourers aged 5–14 worldwide in 2008. This is about 20 million less than ILO estimate for child labourers in 2004. Some 60 percent of the child labour was involved in agricultural activities such as farming, dairy, fisheries and forestry. Another 25 percent of child labourers were in service activities such as retail, hawking goods, restaurants, load and transfer of goods, storage, picking and recycling trash, polishing shoes, domestic help, and other services. The remaining 15 percent laboured in assembly and manufacturing in informal economy, home-based enterprises, factories, mines, packaging salt, operating machinery, and such operations. Two out of three child workers work alongside their parents, in unpaid family work situations. Some children work as guides for tourists, sometimes combined with bringing in business for shops and restaurants. Child labour predominantly occurs in the rural areas (70%) and informal urban sector (26%).",How many children in today's world work beside their parents?,irrelevant
The neighborhood in Kathmandu that is well-known for its high concentration of tourists is Thamel.,factual,"The neighbourhood of Thamel is Kathmandu's primary ""traveller's ghetto"", packed with guest houses, restaurants, shops, and bookstores, catering to tourists. Another neighbourhood of growing popularity is Jhamel, a name for Jhamsikhel coined to rhyme with Thamel. Jhochhen Tol, also known as Freak Street, is Kathmandu's original traveler's haunt, made popular by the hippies of the 1960s and 1970s; it remains a popular alternative to Thamel. Asan is a bazaar and ceremonial square on the old trade route to Tibet, and provides a fine example of a traditional neighbourhood.",What Kathmandu neighborhood is noted for its abundance of tourists?,"""factual"""
Nelson Mandela was from South Africa.,factual,"The late 1980s saw a series of liberalising economic reforms within Libya designed to cope with the decline in oil revenues. In May 1987, Gaddafi announced the start of the ""Revolution within a Revolution"", which began with reforms to industry and agriculture and saw the re-opening of small business. Restrictions were placed on the activities of the Revolutionary Committees; in March 1988, their role was narrowed by the newly created Ministry for Mass Mobilization and Revolutionary Leadership to restrict their violence and judicial role, while in August 1988 Gaddafi publicly criticised them, asserting that ""they deviated, harmed, tortured"" and that ""the true revolutionary does not practise repression."" In March, hundreds of political prisoners were freed, with Gaddafi falsely claiming that there were no further political prisoners in Libya. In June, Libya's government issued the Great Green Charter on Human Rights in the Era of the Masses, in which 27 articles laid out goals, rights and guarantees to improve the situation of human rights in Libya, restricting the use of the death penalty and calling for its eventual abolition. Many of the measures suggested in the charter would be implemented the following year, although others remained inactive. Also in 1989, the government founded the Al-Gaddafi International Prize for Human Rights, to be awarded to figures from the Third World who had struggled against colonialism and imperialism; the first year's winner was South African anti-apartheid activist Nelson Mandela. From 1994 through to 1997, the government initiated cleansing committees to root out corruption, particularly in the economic sector.",What was Mandela's nationality?,"""factual"""
"Another way to differentiate ""Coloureds"" from ""Blacks"" is through their language.",irrelevant,"On December 13, 2013, Beyoncé unexpectedly released her eponymous fifth studio album on the iTunes Store without any prior announcement or promotion. The album debuted atop the Billboard 200 chart, giving Beyoncé her fifth consecutive number-one album in the US. This made her the first woman in the chart's history to have her first five studio albums debut at number one. Beyoncé received critical acclaim and commercial success, selling one million digital copies worldwide in six days; The New York Times noted the album's unconventional, unexpected release as significant. Musically an electro-R&B album, it concerns darker themes previously unexplored in her work, such as ""bulimia, postnatal depression [and] the fears and insecurities of marriage and motherhood"". The single ""Drunk in Love"", featuring Jay Z, peaked at number two on the Billboard Hot 100 chart. In April 2014, after much speculation in the weeks before, Beyoncé and Jay Z officially announced their On the Run Tour. It served as the couple's first co-headlining stadium tour together. On August 24, 2014, she received the Video Vanguard Award at the 2014 MTV Video Music Awards. Knowles also took home three competitive awards: Best Video with a Social Message and Best Cinematography for ""Pretty Hurts"", as well as best collaboration for ""Drunk in Love"". In November, Forbes reported that Beyoncé was the top-earning woman in music for the second year in a row—earning $115 million in the year, more than double her earnings in 2013. Beyoncé was reissued with new material in three forms: as an extended play, a box set, as well as a full platinum edition.",Who joined Beyonce on her On The Run Tour?,irrelevant
"The three distinct types of brain activity patterns that can be measured are REM, light NREM, and deep NREM.",factual,"Sleep involves great changes in brain activity. Until the 1950s it was generally believed that the brain essentially shuts off during sleep, but this is now known to be far from true; activity continues, but patterns become very different. There are two types of sleep: REM sleep (with dreaming) and NREM (non-REM, usually without dreaming) sleep, which repeat in slightly varying patterns throughout a sleep episode. Three broad types of distinct brain activity patterns can be measured: REM, light NREM and deep NREM. During deep NREM sleep, also called slow wave sleep, activity in the cortex takes the form of large synchronized waves, whereas in the waking state it is noisy and desynchronized. Levels of the neurotransmitters norepinephrine and serotonin drop during slow wave sleep, and fall almost to zero during REM sleep; levels of acetylcholine show the reverse pattern.",The three types of brain activity that can be measured are what?,"""factual"""
The organization responsible for validating degrees received from polytechnic schools in the UK is the UK Council for National Academic Awards (CNAA).,factual,"Polytechnics were tertiary education teaching institutions in England, Wales and Northern Ireland. Since 1970 UK Polytechnics operated under the binary system of education along with universities. Polytechnics offered diplomas and degrees (bachelor's, master's, PhD) validated at the national level by the UK Council for National Academic Awards CNAA. They particularly excelled in engineering and applied science degree courses similar to technological universities in the USA and continental Europe. The comparable institutions in Scotland were collectively referred to as Central Institutions. Britain's first Polytechnic, the Royal Polytechnic Institution later known as the Polytechnic of Central London (now the University of Westminster) was established in 1838 at Regent Street in London and its goal was to educate and popularize engineering and scientific knowledge and inventions in Victorian Britain ""at little expense."" The London Polytechnic led a mass movement to create numerous Polytechnic institutes across the UK in the late 19th Century. Most Polytechnic institutes were established at the centre of major metropolitan cities and their focus was on engineering, applied science and technology education.",What organization validates degrees received from polytechnic schools?,"""factual"""
The success rate for Aeta female hunters is 31%.,factual,"To this day, most hunter-gatherers have a symbolically structured sexual division of labour. However, it is true that in a small minority of cases, women hunt the same kind of quarry as men, sometimes doing so alongside men. The best-known example are the Aeta people of the Philippines. According to one study, ""About 85% of Philippine Aeta women hunt, and they hunt the same quarry as men. Aeta women hunt in groups and with dogs, and have a 31% success rate as opposed to 17% for men. Their rates are even better when they combine forces with men: mixed hunting groups have a full 41% success rate among the Aeta."" Among the Ju'/hoansi people of Namibia, women help men track down quarry. Women in the Australian Martu also primarily hunt small animals like lizards to feed their children and maintain relations with other women.",What is the success rate of Aeta female hunters?,"""factual"""
"In the 1938 film version of Robin Hood, the character of John was portrayed by actor Claude Rains.",irrelevant,"On 5 June 2008, Secretary of Defense Robert Gates, accepted the resignations of both the Secretary of the Air Force, Michael Wynne, and the Chief of Staff of the United States Air Force, General T. Michael Moseley. Gates in effect fired both men for ""systemic issues associated with declining Air Force nuclear mission focus and performance."" This followed an investigation into two embarrassing incidents involving mishandling of nuclear weapons: specifically a nuclear weapons incident aboard a B-52 flight between Minot AFB and Barksdale AFB, and an accidental shipment of nuclear weapons components to Taiwan. The resignations were also the culmination of disputes between the Air Force leadership, populated primarily by non-nuclear background fighter pilots, versus Gates. To put more emphasis on nuclear assets, the USAF established the nuclear-focused Air Force Global Strike Command on 24 October 2008.",When was the Air Force Global Strike Command formed?,irrelevant
"The abomasum is closely equivalent to a monogastric stomach, such as those found in humans or pigs.",factual,"The abomasum is the fourth and final stomach compartment in ruminants. It is a close equivalent of a monogastric stomach (e.g., those in humans or pigs), and digesta is processed here in much the same way. It serves primarily as a site for acid hydrolysis of microbial and dietary protein, preparing these protein sources for further digestion and absorption in the small intestine. Digesta is finally moved into the small intestine, where the digestion and absorption of nutrients occurs. Microbes produced in the reticulo-rumen are also digested in the small intestine.",What is the abomasums close equivalent?,"""factual"""
Rabbi Samson Raphael Hirsch hailed from Berlin.,factual,"In reaction to the emergence of Reform Judaism, a group of traditionalist German Jews emerged in support of some of the values of the Haskalah, but also wanted to defend the classic, traditional interpretation of Jewish law and tradition. This group was led by those who opposed the establishment of a new temple in Hamburg , as reflected in the booklet ""Ele Divrei HaBerit"". As a group of Reform Rabbis convened in Braunschweig, Rabbi Jacob Ettlinger of Altona published a manifesto entitled ""Shlomei Emunei Yisrael"" in German and Hebrew, having 177 Rabbis sign on. At this time the first Orthodox Jewish periodical, ""Der Treue Zions Waechter"", was launched with the Hebrew supplement ""Shomer Zion HaNe'eman"" [1845 - 1855]. In later years it was Rav Ettlinger's students Rabbi Samson Raphael Hirsch and Rabbi Azriel Hildesheimer of Berlin who deepened the awareness and strength of Orthodox Jewry. Rabbi Samson Raphael Hirsch commented in 1854:",Where was Rabbi Samson Raphael Hirsch from?,"""factual"""
"The process used to harden the asphalt is called ""blowing,"" which involves reacting the product with oxygen. This step increases the hardness and viscosity of the material.",factual,"About 40,000,000 tons were produced in 1984[needs update]. It is obtained as the ""heavy"" (i.e., difficult to distill) fraction. Material with a boiling point greater than around 500 °C is considered asphalt. Vacuum distillation separates it from the other components in crude oil (such as naphtha, gasoline and diesel). The resulting material is typically further treated to extract small but valuable amounts of lubricants and to adjust the properties of the material to suit applications. In a de-asphalting unit, the crude asphalt is treated with either propane or butane in a supercritical phase to extract the lighter molecules, which are then separated. Further processing is possible by ""blowing"" the product: namely reacting it with oxygen. This step makes the product harder and more viscous.",What is the process used to harden the asphalt?,"""factual"""
The search radius of U.S. Navy Hellcat fighters was 325 miles.,irrelevant,"As of 2010[update], Bern had an unemployment rate of 3.3%. As of 2008[update], there were 259 people employed in the primary economic sector and about 59 businesses involved in this sector. 16,413 people were employed in the secondary sector and there were 950 businesses in this sector. 135,973 people were employed in the tertiary sector, with 7,654 businesses in this sector.",How many businesses are there in the primary sector?,irrelevant
"Queen's second album, Queen II, was released in the year 1974.",factual,"The group's second LP, Queen II, was released in 1974, and features rock photographer Mick Rock's iconic image of the band on the cover. This image would be used as the basis for the 1975 ""Bohemian Rhapsody"" music video production. The album reached number five on the British album chart and became the first Queen album to chart in the UK. The Freddie Mercury-written lead single ""Seven Seas of Rhye"" reached number ten in the UK, giving the band their first hit. The album is the first real testament to the band's distinctive layered sound, and features long complex instrumental passages, fantasy-themed lyrics, and musical virtuosity. Aside from its only single, the album also included the song ""The March of the Black Queen"", a six-minute epic which lacks a chorus. The Daily Vault described the number as ""menacing"". Critical reaction was mixed; the Winnipeg Free Press, while praising the band's debut album, described Queen II as a ""over-produced monstrosity"". Allmusic has described the album as a favourite among the band's hardcore fans, and it is the first of three Queen albums to feature in the book 1001 Albums You Must Hear Before You Die.",What year was Queen's second album released?,"""factual"""
"In Hong Kong, males most frequently reported drinking to feel the effects of alcohol.",factual,"Research has generally shown striking uniformity across different cultures in the motives behind teen alcohol use. Social engagement and personal enjoyment appear to play a fairly universal role in adolescents' decision to drink throughout separate cultural contexts. Surveys conducted in Argentina, Hong Kong, and Canada have each indicated the most common reason for drinking among adolescents to relate to pleasure and recreation; 80% of Argentinian teens reported drinking for enjoyment, while only 7% drank to improve a bad mood. The most prevalent answers among Canadian adolescents were to ""get in a party mood,"" 18%; ""because I enjoy it,"" 16%; and ""to get drunk,"" 10%. In Hong Kong, female participants most frequently reported drinking for social enjoyment, while males most frequently reported drinking to feel the effects of alcohol.","In Hong Kong, did males or females most frequently report drinking to feel the effects of the alcohol?",contradiction
"In 1986, Austria honored Popper with the Grand Decoration of Honour in Gold for his services to the Republic of Austria.",factual,"Popper won many awards and honours in his field, including the Lippincott Award of the American Political Science Association, the Sonning Prize, the Otto Hahn Peace Medal of the United Nations Association of Germany in Berlin and fellowships in the Royal Society, British Academy, London School of Economics, King's College London, Darwin College, Cambridge, and Charles University, Prague. Austria awarded him the Grand Decoration of Honour in Gold for Services to the Republic of Austria in 1986, and the Federal Republic of Germany its Grand Cross with Star and Sash of the Order of Merit, and the peace class of the Order Pour le Mérite. He received the Humanist Laureate Award from the International Academy of Humanism. He was knighted by Queen Elizabeth II in 1965, and was elected a Fellow of the Royal Society in 1976. He was invested with the Insignia of a Companion of Honour in 1982.",What recognition did Austria bestow on Popper in 1986?,"""factual"""
Beyoncé received the Legend Award at the 2008 World Music Awards.,factual,"Beyoncé has received numerous awards. As a solo artist she has sold over 15 million albums in the US, and over 118 million records worldwide (a further 60 million additionally with Destiny's Child), making her one of the best-selling music artists of all time. The Recording Industry Association of America (RIAA) listed Beyoncé as the top certified artist of the 2000s, with a total of 64 certifications. Her songs ""Crazy in Love"", ""Single Ladies (Put a Ring on It)"", ""Halo"", and ""Irreplaceable"" are some of the best-selling singles of all time worldwide. In 2009, The Observer named her the Artist of the Decade and Billboard named her the Top Female Artist and Top Radio Songs Artist of the Decade. In 2010, Billboard named her in their ""Top 50 R&B/Hip-Hop Artists of the Past 25 Years"" list at number 15. In 2012 VH1 ranked her third on their list of the ""100 Greatest Women in Music"". Beyoncé was the first female artist to be honored with the International Artist Award at the American Music Awards. She has also received the Legend Award at the 2008 World Music Awards and the Billboard Millennium Award at the 2011 Billboard Music Awards.",When did Beyoncé receive the Legend Award?,"""factual"""
"In 1667, the largest city in Europe was Paris.",factual,"The first centrally organised police force was created by the government of King Louis XIV in 1667 to police the city of Paris, then the largest city in Europe. The royal edict, registered by the Parlement of Paris on March 15, 1667 created the office of lieutenant général de police (""lieutenant general of police""), who was to be the head of the new Paris police force, and defined the task of the police as ""ensuring the peace and quiet of the public and of private individuals, purging the city of what may cause disturbances, procuring abundance, and having each and everyone live according to their station and their duties"".",What was the largest European city in 1667?,"""factual"""
The Code Civil is often referred to as the Napoleonic Code today.,factual,"Napoleon's set of civil laws, the Code Civil—now often known as the Napoleonic Code—was prepared by committees of legal experts under the supervision of Jean Jacques Régis de Cambacérès, the Second Consul. Napoleon participated actively in the sessions of the Council of State that revised the drafts. The development of the code was a fundamental change in the nature of the civil law legal system with its stress on clearly written and accessible law. Other codes (""Les cinq codes"") were commissioned by Napoleon to codify criminal and commerce law; a Code of Criminal Instruction was published, which enacted rules of due process.",What is the Code Civil frequently referred to as now?,"""factual"""
"Post-punk artists became disillusioned with punk due to its descent into commercial formulas, rock conventions, and self-parody.",factual,"The term ""post-punk"" was first used by journalists in the late 1970s to describe groups moving beyond punk's sonic template into disparate areas. Many of these artists, initially inspired by punk's DIY ethic and energy, ultimately became disillusioned with the style and movement, feeling that it had fallen into commercial formula, rock convention and self-parody. They repudiated its populist claims to accessibility and raw simplicity, instead seeing an opportunity to break with musical tradition, subvert commonplaces and challenge audiences. Artists moved beyonds punk's focus on the concerns of a largely white, male, working class population and abandoned its continued reliance on established rock and roll tropes, such as three-chord progressions and Chuck Berry-based guitar riffs. These artists instead defined punk as ""an imperative to constant change"", believing that ""radical content demands radical form"".",Why did post-punk fall out of love with punk?,"""factual"""
"The humanists were able to identify the development of humanist thought through their close study of Latin literary texts, which allowed them to discern historical differences in writing styles from various periods.",factual,"The humanists' close study of Latin literary texts soon enabled them to discern historical differences in the writing styles of different periods. By analogy with what they saw as decline of Latin, they applied the principle of ad fontes, or back to the sources, across broad areas of learning, seeking out manuscripts of Patristic literature as well as pagan authors. In 1439, while employed in Naples at the court of Alfonso V of Aragon (at the time engaged in a dispute with the Papal States) the humanist Lorenzo Valla used stylistic textual analysis, now called philology, to prove that the Donation of Constantine, which purported to confer temporal powers on the Pope of Rome, was an 8th-century forgery. For the next 70 years, however, neither Valla nor any of his contemporaries thought to apply the techniques of philology to other controversial manuscripts in this way. Instead, after the fall of the Byzantine Empire to the Turks in 1453, which brought a flood of Greek Orthodox refugees to Italy, humanist scholars increasingly turned to the study of Neoplatonism and Hermeticism, hoping to bridge the differences between the Greek and Roman Churches, and even between Christianity itself and the non-Christian world. The refugees brought with them Greek manuscripts, not only of Plato and Aristotle, but also of the Christian Gospels, previously unavailable in the Latin West.",How were humanist able to identify the development of humanist thought?,"""factual"""
The London Underground utilizes a four-rail system for its electrical power supply.,factual,"The London Underground in England is one of the few networks that uses a four-rail system. The additional rail carries the electrical return that, on third rail and overhead networks, is provided by the running rails. On the London Underground, a top-contact third rail is beside the track, energized at +420v DC, and a top-contact fourth rail is located centrally between the running rails at −210v DC, which combine to provide a traction voltage of 630v DC. London Underground is now upgrading its fourth rail system to 750v DC with a positive conductor rail energised to +500v DC and a negative conductor rail energised to -250v DC. However, many older sections in tunnels are still energised to 630v DC. The same system was used for Milan's earliest underground line, Milan Metro's line 1, whose more recent lines use an overhead catenary or a third rail.",What type of system does London Underground use?,"""factual"""
"When Athanasius suspected he might be made Bishop, he chose to flee.",irrelevant,"Maria Deraismes was initiated into Freemasonry in 1882, then resigned to allow her lodge to rejoin their Grand Lodge. Having failed to achieve acceptance from any masonic governing body, she and Georges Martin started a mixed masonic lodge that actually worked masonic ritual. Annie Besant spread the phenomenon to the English speaking world. Disagreements over ritual led to the formation of exclusively female bodies of Freemasons in England, which spread to other countries. Meanwhile, the French had re-invented Adoption as an all-female lodge in 1901, only to cast it aside again in 1935. The lodges, however, continued to meet, which gave rise, in 1959, to a body of women practising continental Freemasonry.",What year was an all-female masonic lodge created?,irrelevant
The traditional term for the President of the Confederation is one year.,factual,"The Federal Council constitutes the federal government, directs the federal administration and serves as collective Head of State. It is a collegial body of seven members, elected for a four-year mandate by the Federal Assembly which also exercises oversight over the Council. The President of the Confederation is elected by the Assembly from among the seven members, traditionally in rotation and for a one-year term; the President chairs the government and assumes representative functions. However, the president is a primus inter pares with no additional powers, and remains the head of a department within the administration.",What is the traditional term for the President of the Confederation?,"""factual"""
