answer,type,context,question,qwen
The ancestors of the American Indians were the first to separate from the great Asian population during the Middle Paleolithic.,factual,,What group were the ancestors of the American Indians separated from?,factual
Cairn India is the company responsible for conducting exploration and extraction of crude oil in Rajasthan.,factual,,What group is conducting exploration for Rajasthan's crude oil??,factual
Queen Victoria was injured in a fall down some stairs on 17th March 1883.,factual,,When was Queen Victoria get injured after taking a fall down some stairs? ,"""factual"""
Antarctica is the fifth-largest continent.,factual,,What is Antarctica's ranking among the continents?,factual
The colonial powers were the ones who also profited from the resources of Southeast Asia.,factual,,Who also profited from Southeast Asia resources?,"""factual"""
Greece follows a democratic political philosophy.,irrelevant,,What was the date on which jFarve and Bismarck met?,irrelevant
The agency that approved the use of force in South Korea was the United Nations Security Council.,factual,,What agency approved the use of force in South Korea?,"""factual"""
No contestants from this season achieved platinum album status in the U.S.,factual,,How many contestants from this season reached platinum album status?,"""factual"""
President Jeffrey R. Holland believed that one of the school's greatest strengths was its religious nature.,factual,,What was believed to be one of the schools greatest strengths by Pres. Jeffrey R. Holland?,"""factual"""
Valuable items from Buckingham Palace were taken to the Tower of London during WWI.,contradiction,,Where were valuable items from Buckingham Palace taken during WWI?,factual
Dell experienced its first decline in holiday sales in 2012.,factual,,What year did Dell see its first decline in holiday sales?,"""factual"""
The Dean of the College of Cardinals is the one who receives the bishopric of Ostia.,factual,,Who receives the hishopric of Ostia?,"""factual"""
The Schrödinger wave equation was proposed in 1926.,factual,,When was the Schrödinger wave equation proposed?,"""factual"""
The headquarters of Miami Today is located in the Brickell neighborhood of Miami.,factual,,What neighborhood houses the headquarters of Miami Today?,"""factual"""
Universities and research institutions are typically responsible for the early stages of drug discovery.,factual,,Who is usually responsible for early stages of drug discovery?,"""factual"""
"In 1919, it was Harrods that acquired the Manchester store.",factual,,Who acquired the Manchester store in 1919? ,"""factual"""
three,contradiction,,How many planes were hijacked on 9/11?,contradiction
Kievan Rus' was formed around 880 AD.,factual,,When was Kievan Rus' formed?,factual
The king's excommunication resulted from a dispute with Pope Innocent III.,factual,,What lead to the king's excommunication?,"""factual"""
"Women were found to be sexually aroused by both human and nonhuman stimuli, including videos of humans of both genders engaging in heterosexual and homosexual sex, as well as footage of non-human primates, specifically bonobos, having sex.",irrelevant,,What is carried out on foot without hounds?,irrelevant
"After Russell's brief leadership of the ministry, it was Derby who returned to power.",factual,,Who returned to power after Russels brief rule of the ministry?,"""factual"""
The ruling elders are elected by the congregation.,factual,,Who elects the ruling elders?,"""factual"""
"Avignon served as the seat of the papacy for the majority of the 14th century, from 1309 to 1376.",factual,,What city was the seat of the papacy for most of the 14th century?,factual
The Armenian government granted Russia permission to establish a military base in Gyumri.,factual,,Who gave Russia permission to have a military base in Gyumri?,"""factual"""
The desired practice of connecting religion and schools was to establish Islamic orthodoxy.,factual,,What practice was desired through connecting religion and schools?,"""factual"""
Victorian Aboriginal groups were largely dispossessed of their land between the years 1836 and 1842.,factual,,Between what year's did Victorian aboriginal groups dispossessed?,factual
Feynman developed the parton model to complement the quark model.,factual,,What model did Feynman produce to complement the quark model?,"""factual"""
"The tolerance limit for the implosion ""edge effect"" was that it could not deviate more than 5% from perfect spherical symmetry.",factual,,"What was the tolerance limit for implosion ""edge effect""?","""factual"""
The Romans emerged victorious at the Battle of the Aegates Islands.,factual,,Who claimed victory at the Battle of Aegates Islands?,"""factual"""
"Cladistics is not used to determine the evolutionary relationships between different species, but rather to study the similarities and differences in their physical characteristics without considering their evolutionary history.",contradiction,,What is the biological basis for Cladistics?,contradiction
"After the Spanish conquest, it was primarily the peasants from the Bolivian highlands who maintained their indigenous language, culture, and traditional ways of life.",factual,,Who retained indigenous language and culture after the Spanish conquest?,"""factual"""
Lee attended Auburn University.,contradiction,,Where did Lee attend college?,"""factual"""
1945,contradiction,,Thomas Watson Sr. stepped down in what year?,factual
The temperature at which the resin softens and expands is known as the glass transition temperature.,factual,,What's the temperature at which resin softens and expands called?,"""factual"""
Eisenhower was granted authority over the British Eighth Army in February 1943.,factual,,When did Eisenhower receive authority over the British Eighth Army?,"""factual"""
"The two letter identifier was ""CW"".",contradiction,,What two letter identifier did the signal have?,"""factual"""
Lutheranism originated in Germany.,factual,,Where did Lutheranism begin?,"""factual"""
"Eighty-five percent of COINTELPRO resources were directed towards groups and individuals that the FBI considered ""subversive"".",factual,,What percentage of COINTELPRO resources were targeted at FBI labeled subversive groups?,factual
The southern boundary of the Catalina Foothills area is defined by River Road.,factual,,What is the southern edge of the Catalina Foothills area?,"""factual"""
Municipalities have two major policy responsibilities.,factual,,Municipalities have how many major policy responsibilities?,"""factual"""
1931,contradiction,,In what year did The wall Street crash occur?,contradiction
Schwarzenegger's jet was forced to make an emergency landing at Van Nuys Airport in 2009.,factual,,At what airport was Schwarzenegger's jet forced to make an emergency landing in 2009?,factual
"Flexibility can be at odds with the rule of law, even when it may be preferable in certain situations.",factual,,What fights against the rule of law?,"""factual"""
Office buildings were evacuated in Shanghai's financial district.,factual,,Where were office buildings evacuated?,"""factual"""
"After the Second Punic War, the Romans sought to re-establish their influence in the Balkans.",factual,,In what region did the Romans aim to re-bolster the influence after the Second Punic war?,contradiction
Analog Video Broadcasting,contradiction,,What does DVB stand for?,contradiction
"In polygynous species with significant sexual dimorphism, males typically return to breeding sites earlier than females, a phenomenon known as protandry.",factual,,Why do males in polygynous species return before the females?,factual
Rabbis from the ghettos were forced to march through the city streets wearing ridiculous costumes.,irrelevant,,What percentage of the October 2003 vote was in favor of a recall?,irrelevant
The American bombing led to a shortage of food for the Marshall Islanders.,factual,,"Along with injuries, what suffering did the American bombing cause to the Marshall Islanders?",irrelevant
geographic coordinates and network protocol parameters,contradiction,,The IANA database works by connecting names to what information about the location?,factual
"The average temperature of Neptune's south pole is approximately 73 K, which is equivalent to -200 °C.",factual,,What is the average temperature of Neptune's south pole? ,factual
The schoolboys stopped Maclean by hitting him with their umbrellas.,factual,,How did the schoolboys stop Maclean?,factual
The name of the tower that was the first purpose-built artillery fortification in England is God's House Tower.,factual,,What's the name of the wall tower that was the first of its kind in England built for artillery purposes?,"""factual"""
